section_a,section_b,mesh_similarity
Viral Immunity and Pathogenesis Unit,Food Allergy Research Section,0.15641952983725135
Twinbrook Imaging Facility,Prion Cell Biology Unit,0.1564102564102564
Autoimmunity and Functional Genomics Section,Antibacterial Host Defense Unit,0.15635451505016723
Pathology Core,Molecular Defenses Section,0.15634395670475046
Plague Section,Molecular Microbiology Section,0.1563047285464098
Transplant Infectious Diseases Consult Service,Epidemiology and Population Studies Unit,0.15629522431259044
Systems Genomics Section,Immunobiology and Molecular Virology Unit,0.15611814345991562
Nonhuman Primate Virology Section,Metaorganism Immunity Section,0.15609348914858096
Vector Biology Section,Microbial Pathogenesis Section,0.1560775435120985
HIV Immunovirology Section,Clinical Pathophysiology Section,0.15607524148449414
Molecular Defenses Section,Molecular Biology Section,0.15602443087173792
Metaorganism Immunity Section,B-Cell Immunology Section,0.15602369980250164
Mosquito Immunity and Vector Competence Section,Immunity to Pulmonary Pathogens Section,0.15601023017902813
Translational Mycology Section,Malaria Functional Genomics Section,0.15597345132743362
Molecular Genetics Section (Laboratory of Viral Diseases),Innate Immunity and Pathogenesis Section,0.15595463137996218
Viral Pathogenesis and Evolution Section,Malaria Cell Biology Section,0.15595145881745417
Translational Allergic Immunopathology Unit,Fungal Pathogenesis Section,0.15585168018539977
Structural Immunology Section,Molecular Defenses Section,0.15582959641255606
Molecular and Cellular Immunology Section,Cellular Biology Section,0.15574519963425784
T-Lymphocyte Biology Section,Lyme Disease Studies Unit,0.15574302401038287
T-Lymphocyte Biology Section,Chlamydial Diseases Section,0.15571428571428572
Viral Immunity and Pathogenesis Unit,Molecular and Cellular Immunology Section,0.1557075223566544
Molecular Entomology Unit,Molecular Biology Section,0.15568862275449102
Mucosal Immunobiology Section,Coxiella Pathogenesis Section,0.1556712962962963
Immune Activation Section,Genetic Engineering Section,0.1556510244547257
Molecular Signaling Section,Genetic Engineering Section,0.1556510244547257
Immune Activation Section,Clinical Research Section,0.15559671870865308
Molecular Signaling Section,Clinical Research Section,0.15559671870865308
Molecular Parasitology Section,Molecular HIV Host Interactions Section,0.1555793991416309
Mast Cell Biology Section,Cell Signaling and Immunity Section,0.15556651866469332
Viral Pathogenesis and Vaccine Section,Molecular Biology Section,0.15556548949485918
Mucosal Immunity Section,Human Eosinophil Section,0.15554282440561443
Systems Genomics Section,Pathogen Molecular Genetics Section,0.15552699228791775
Vector-Pathogen-Host Interaction Unit,Cellular Biology Section,0.15552420230084654
Mosquito Immunity and Vector Competence Section,Genomic Technologies Section,0.15548387096774194
Fungal Pathogenesis Section,Cellular Immunology Section,0.15548172757475084
Viral Pathogenesis and Vaccine Section,Molecular Development of the Immune System Section,0.15547378104875806
Transplant Infectious Diseases Consult Service,Emerging Virus Immunity Unit,0.15546218487394958
Nonhuman Primate Virology Section,Lymphocyte Biology Section,0.1554373522458629
Lymphocyte Activation Section,Human Immunological Diseases Section,0.1554135519652761
Pathogen-Host Cell Biology Section,Mucosal Immunity Section,0.15539407490218
Type 2 Immunity Section,Chlamydial Diseases Section,0.1553903345724907
Clinical and Molecular Retrovirology Section,Clinical Pathophysiology Section,0.15538573508005823
RNA Viruses Section,Molecular Defenses Section,0.15537190082644628
TSE/Prion and Retroviral Pathogenesis Section,B-Cell Molecular Immunology Section,0.15536205316223647
Lyme Disease Studies Unit,Genomic Technologies Section,0.15530527563722585
Translational Mycology Section,Malaria Infection Biology and Immunity Unit,0.15528312901342672
Viral Pathogenesis Section (Laboratory of Viral Diseases),Neuroimmunology Unit,0.15525352848928384
Lung and Vascular Inflammation Section,Immunobiology and Molecular Virology Unit,0.15519086692829112
Viral Biology Section,Molecular Genetics Section (Laboratory of Bacteriology),0.1551507537688442
Molecular and Cellular Immunoregulation Section,Cellular Biology Section,0.15511860174781522
Viral Pathogenesis Section (Laboratory of Viral Diseases),Molecular Development of the Immune System Section,0.1551047120418848
Metaorganism Immunity Section,Genetic Immunotherapy Section,0.15509365006852444
Molecular and Cellular Immunoregulation Section,Molecular Pathology Section,0.15507776761207684
Viral Pathogenesis and Evolution Section,Genetic Immunotherapy Section,0.15503702041732106
Type 2 Immunity Section,Molecular Parasitology Section,0.15502555366269166
RML Flow Cytometry Unit,Gene Regulation Section,0.15502183406113537
Viral Biology Section,Pathology Core,0.1550131926121372
Human Eosinophil Section,Allergy and Immunology Clinical Training Program,0.15497553017944535
Scientist Emerita,Flow Cytometry Section,0.15494296577946767
Host-Parasite Interactions Section,Gene Regulation Section,0.15491731940818101
Neuroimmunological Diseases Section,Fungal Pathogenesis Section,0.15490716180371353
Translational Immunobiology Unit,Host-Pathogen Interactions and Structural Vaccinology Section,0.15490375802016498
Tuberculosis Research Section,Malaria Functional Genomics Section,0.1548974943052392
Translational Immunobiology Unit,Nonhuman Primate Virology Section,0.15489249670908292
Structural Virology Section,Innate Immunity and Pathogenesis Section,0.15484429065743946
Intracellular Parasite Biology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.15481670929241262
Viral Pathogenesis and Vaccine Section,RML Genomics Unit,0.15480961923847694
Human Eosinophil Section,Fungal Pathogenesis Section,0.15476190476190477
Helminth Immunology Section,Clinical and Molecular Retrovirology Section,0.15475255302435192
Viral Pathogenesis Section (Laboratory of Viral Diseases),RML Genomics Unit,0.1547486033519553
Lung and Vascular Inflammation Section,Barrier Immunity Section,0.15470918216710955
Viral Immunology Section,Genetic Engineering Section,0.15467625899280577
Immunobiology and Molecular Virology Unit,Flow Cytometry Section,0.15466983938132065
Pathogenesis and Immunity Section,Clinical and Molecular Retrovirology Section,0.1546152057661009
Vaccine Development Unit,Clinical and Molecular Retrovirology Section,0.1546152057661009
Viral Immunity and Pathogenesis Unit,Infectious Disease Pathogenesis Section,0.15453639082751744
Molecular Defenses Section,Chlamydial Diseases Section,0.15452261306532664
Pathology Core,Coxiella Pathogenesis Section,0.15449607724803863
Primary Immune Deficiency Clinic,HIV Pathogenesis Section,0.1544054747647562
Genomic Technologies Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.15437601296596434
Genetic Immunotherapy Section,Cell Signaling and Immunity Section,0.1543756145526057
Immune Deficiency Genetics Section,Clinical and Molecular Retrovirology Section,0.1543635446443585
Molecular and Cellular Immunoregulation Section,Molecular Biology Section,0.15426859710434349
Innate Immunity and Pathogenesis Section,Chlamydial Diseases Section,0.1542513167795335
Pathogen Molecular Genetics Section,Fungal Pathogenesis Section,0.15424086930274675
Metaorganism Immunity Section,Mast Cell Biology Section,0.1541946570848305
Primary Immune Deficiency Clinic,Pathology Core,0.15419354838709678
Molecular HIV Host Interactions Section,Infectious Disease Fellowship Training Program,0.15416666666666667
TSE/Prion Molecular Biology Section,RML Microscopy Unit,0.1541049798115747
Immune Deficiency Genetics Section,Human Eosinophil Section,0.15406162464985995
Mosquito Immunity and Vector Competence Section,Molecular Defenses Section,0.15403882279273637
Human Eosinophil Section,HIV Immunovirology Section,0.15399167612561482
Translational Immunobiology Unit,Flow Cytometry Section,0.1539855072463768
Retroviral Immunology Section,Molecular Development of the Immune System Section,0.15398230088495576
Immunopathogenesis Section (Laboratory of Immunoregulation),Human Immunological Diseases Section,0.1539147494203674
Scientist Emerita,Molecular Biology Section,0.15390021082220662
Viral Biochemistry Section,Molecular Defenses Section,0.15388628064684404
Pathogen Molecular Genetics Section,Malaria Functional Genomics Section,0.15388496468213925
Metaorganism Immunity Section,HIV Pathogenesis Section,0.15384615384615385
Viral Pathogenesis and Evolution Section,RNA Viruses Section,0.15384615384615385
Immunopathogenesis Section (Laboratory of Immunoregulation),Immunobiology Section,0.15379061371841155
Translational Mycology Section,Immune Activation Section,0.1537764350453172
Translational Mycology Section,Molecular Signaling Section,0.1537764350453172
Molecular Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.15373459028281364
Twinbrook Imaging Facility,Food Allergy Research Section,0.1536697247706422
Viral Pathogenesis Section (Laboratory of Viral Diseases),Barrier Immunity Section,0.15366105190787213
Pathogen Molecular Genetics Section,Lung and Vascular Inflammation Section,0.1536465092135998
Viral Pathogenesis and Evolution Section,Molecular Development of the Immune System Section,0.15362913567581432
Pathogen Molecular Genetics Section,Immunobiology Section,0.15362198168193172
TSE/Prion and Retroviral Pathogenesis Section,Inflammation Biology Section,0.15361977633902296
Lymphocyte Biology Section,B-Cell Immunology Section,0.15360169491525424
Primary Immune Deficiency Clinic,Cell Signaling and Immunity Section,0.153590701535907
Genetic Immunotherapy Section,Disease Modeling and Transmission Section,0.15356634508935632
Primary Immune Deficiency Clinic,Clinical Research Section,0.15350488021295475
Viral Pathogenesis and Evolution Section,Nonhuman Primate Virology Section,0.1534908992121706
Signaling Systems Section,Flow Cytometry Section,0.15348837209302327
Signaling Systems Section,Molecular and Cellular Immunoregulation Section,0.15343601895734596
RNA Viruses Section,RML Genomics Unit,0.15339425587467362
T-Cell Tolerance and Memory Section,Innate Immunity and Pathogenesis Section,0.15335753176043557
Translational Mycology Section,RNA Viruses Section,0.15335120643431635
T-Lymphocyte Biology Section,Signaling Systems Section,0.15331278890600925
Viral Pathogenesis and Vaccine Section,Molecular Parasitology Section,0.15331152902698283
Viral Immunology Section,TSE/Prion Biochemistry Section,0.1532874617737003
Plague Section,Fungal Pathogenesis Section,0.15326497571505668
Viral Biology Section,Scientist Emerita,0.15326251896813353
Viral Immunity and Pathogenesis Unit,Structural Immunology Section,0.1532567049808429
Mucosal Immunity Section,Molecular and Cellular Immunology Section,0.15325177076625884
Viral Pathogenesis and Vaccine Section,Viral Pathogenesis and Evolution Section,0.15324985092426952
Intracellular Parasite Biology Section,Fungal Pathogenesis Section,0.1532137518684604
RML Genomics Unit,Innate Immunity and Pathogenesis Section,0.15319476520400307
Inflammation & Innate Immunity Unit,Immunobiology Section,0.15318586992406735
Lymphocyte Biology Section,Coxiella Pathogenesis Section,0.153170359052712
Molecular Pathogenesis and Biomarkers Section,Molecular Parasitology Section,0.15316901408450703
Primary Immune Deficiency Clinic,Hepatic Pathogenesis Section,0.15315315315315314
Molecular HIV Host Interactions Section,Caliciviruses Section,0.1531322505800464
Translational Autoinflammatory Disease Studies Unit,Helminth Immunology Section,0.1531280707500819
Immunopathogenesis Section (Laboratory of Immunoregulation),Cellular Biology Section,0.15311384371281236
T-Lymphocyte Biology Section,HIV-Specific Immunity Section,0.15309278350515465
Molecular Microbiology Section,Genetic Immunotherapy Section,0.15305867665418227
RNA Viruses Section,Cellular Biology Section,0.15302013422818792
Mucosal Immunity Section,Molecular Microbiology Section,0.15299592786503782
Mast Cell Biology Section,Disease Modeling and Transmission Section,0.15297077144226162
LID Clinical Studies Unit,Hepatic Pathogenesis Section,0.1529656607700312
Mucosal Immunity Section,Molecular Biology Section,0.15296229802513464
Retroviral Immunology Section,Nonhuman Primate Virology Section,0.15293215791490994
Structural Virology Section,Caliciviruses Section,0.15288394718554552
Molecular Development of the Immune System Section,HIV-Specific Immunity Section,0.15285806037251123
International HIV/STD Section,Clinical and Molecular Retrovirology Section,0.15284097538210245
Type 2 Immunity Section,TSE/Prion and Retroviral Pathogenesis Section,0.1527777777777778
Signaling Systems Section,Lung and Vascular Inflammation Section,0.15265788278055428
Microbial Pathogenesis Section,Emerging Respiratory Viruses Section,0.15260444926749864
Microbial Pathogenesis Section,Medical Virology Section,0.15260444926749864
Fungal Pathogenesis Section,Cell Signaling and Immunity Section,0.15259259259259259
RML Microscopy Unit,DNA Tumor Virus Section,0.15258511979823455
Pathogen-Host Cell Biology Section,Metaorganism Immunity Section,0.15258476931628684
Translational Autoinflammatory Disease Studies Unit,HIV Immunovirology Section,0.15258126195028682
Viral Biology Section,Molecular Parasitology Section,0.15252416756176154
Translational Immunobiology Unit,Molecular Biology Section,0.1524390243902439
Molecular Biology Section,Caliciviruses Section,0.1524122807017544
Vector Molecular Biology Section,Human Immunological Diseases Section,0.15237770581216975
Nonhuman Primate Virology Section,Clinical Research Section,0.1523748804590373
Tuberculosis Research Section,Translational Mycology Section,0.15237197612315426
Molecular and Cellular Immunoregulation Section,Human Immunological Diseases Section,0.15234065062152868
Viral Pathogenesis Section (Laboratory of Viral Diseases),Molecular Pathogenesis Unit,0.15225878416062466
Inflammation Biology Section,Chlamydial Diseases Section,0.15224463240078073
Viral Pathogenesis and Vaccine Section,Systems Genomics Section,0.1522024983563445
Vector-Pathogen-Host Interaction Unit,Immunopathogenesis Section (Laboratory of Immunoregulation),0.15219541139240506
Molecular Microbiology Section,Human Immunological Diseases Section,0.15219465648854963
Primary Immune Deficiency Clinic,Clinical and Molecular Retrovirology Section,0.15215745647236942
Viral Immunity and Pathogenesis Unit,Fungal Pathogenesis Section,0.1521377012770683
Coxiella Pathogenesis Section,Autoimmunity and Functional Genomics Section,0.15213358070500926
Immunobiology Section,Genetic Engineering Section,0.15212917524141206
Viral Immunology Section,Intracellular Parasite Biology Section,0.15212740670311387
Pathology Core,Immunobiology Section,0.15211521152115212
RNA Viruses Section,Disease Modeling and Transmission Section,0.15211445402903429
T-Lymphocyte Biology Section,Molecular Parasitology Section,0.15211422295442065
Pathogen-Host Cell Biology Section,Malaria Functional Genomics Section,0.1520979020979021
Viral Pathogenesis Section (Laboratory of Immunoregulation),Caliciviruses Section,0.15207823960880196
Twinbrook Imaging Facility,Pathology Core,0.15206611570247933
Viral Immunology Section,Viral Biochemistry Section,0.1520595968448729
Viral Pathogenesis and Vaccine Section,Viral Immunity and Pathogenesis Unit,0.15205811138014527
Viral Pathogenesis and Vaccine Section,Translational Autoinflammatory Disease Studies Unit,0.15203279808677828
Malaria Cell Biology Section,Immunobiology Section,0.15200892857142856
Mucosal Immunity Section,Malaria Cell Biology Section,0.15200210748155954
RNA Viruses Section,Molecular HIV Host Interactions Section,0.15196662693682955
Translational Allergic Immunopathology Unit,Flow Cytometry Section,0.15196506550218342
Translational Mycology Section,Inflammation & Innate Immunity Unit,0.1519434628975265
Malaria Cell Biology Section,Human Immunological Diseases Section,0.1519349164467898
Inflammation Biology Section,Coxiella Pathogenesis Section,0.15190582959641255
Molecular Development of the Immune System Section,HIV Pathogenesis Section,0.15190241068835317
Immunity to Pulmonary Pathogens Section,Cellular Biology Section,0.15186054307743882
Viral Pathogenesis and Vaccine Section,Clinical Pathophysiology Section,0.15185995623632384
Viral Biochemistry Section,RNA Viruses Section,0.15185185185185185
Malaria Functional Genomics Section,Human Immunological Diseases Section,0.15180394826412524
Human Immunological Diseases Section,Genomic Technologies Section,0.1517806670435274
Viral Immunity and Pathogenesis Unit,Translational Immunobiology Unit,0.1517719568567026
Viral Pathogenesis Section (Laboratory of Viral Diseases),Immune Activation Section,0.1517576450414404
Viral Pathogenesis Section (Laboratory of Viral Diseases),Molecular Signaling Section,0.1517576450414404
Viral Immunity and Pathogenesis Unit,HIV-Specific Immunity Section,0.15175300889586604
Immunobiology and Molecular Virology Unit,Emerging Virus Immunity Unit,0.15175276752767528
Lyme Disease Studies Unit,Barrier Immunity Section,0.1517509727626459
Tuberculosis Research Section,Genetic Immunotherapy Section,0.15172855313700384
Viral Pathogenesis and Evolution Section,Viral Pathogenesis Section (Laboratory of Viral Diseases),0.1516497461928934
Fungal Pathogenesis Section,Barrier Immunity Section,0.15155757787889396
Molecular Biology Section,Innate Immunity and Pathogenesis Section,0.15155440414507773
RML Microscopy Unit,Chemotaxis Signal Section,0.1515527950310559
Viral Immunity and Pathogenesis Unit,Structural Virology Section,0.15154038301415487
Pathogen Molecular Genetics Section,Lymphocyte Biology Section,0.15151515151515152
Retroviral Immunology Section,Fungal Pathogenesis Section,0.15148514851485148
Viral Pathogenesis Section (Laboratory of Viral Diseases),Coxiella Pathogenesis Section,0.15147129763627593
Mucosal Immunobiology Section,Molecular Defenses Section,0.1514629948364888
Mucosal Immunity Section,HIV Immunovirology Section,0.15145368492224476
Tuberculosis Research Section,Coxiella Pathogenesis Section,0.15143769968051118
Molecular Defenses Section,Caliciviruses Section,0.1514178705189941
RML Genomics Unit,Hepatic Pathogenesis Section,0.15137254901960784
RML Flow Cytometry Unit,Computational Biology Unit,0.15129151291512916
Viral Immunity and Pathogenesis Unit,Computational Biology Unit,0.15129151291512916
Translational Autoinflammatory Disease Studies Unit,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.15123065211875159
Immunobiology and Molecular Virology Unit,Clinical and Molecular Retrovirology Section,0.15121302758391492
Neuroimmunology Unit,Food Allergy Research Section,0.1511528608027327
Viral Pathogenesis Section (Laboratory of Viral Diseases),Structural Virology Section,0.15114873035066506
Molecular Defenses Section,Fungal Pathogenesis Section,0.1511111111111111
Viral Biology Section,RML Microscopy Unit,0.15110053539559787
Viral Pathogenesis Section (Laboratory of Immunoregulation),RNA Viruses Section,0.15107553776888444
Molecular Pathogenesis Unit,Biology of Vector-Borne Viruses Section,0.1510464058234759
Type 2 Immunity Section,Cellular Immunology Section,0.15103766333589547
Viral Biochemistry Section,Host-Parasite Interactions Section,0.1510228640192539
Mast Cell Biology Section,Cellular Immunology Section,0.15101977269188852
Plague Section,Host-Parasite Interactions Section,0.15098314606741572
Systems Genomics Section,Disease Modeling and Transmission Section,0.15097402597402598
TSE/Prion and Retroviral Pathogenesis Section,Innate Immunity and Pathogenesis Section,0.1509686038744155
Molecular Entomology Unit,Caliciviruses Section,0.15095541401273885
Translational Allergic Immunopathology Unit,Lung and Vascular Inflammation Section,0.15090189177298724
Translational Mycology Section,Cell Signaling and Immunity Section,0.15089216446858028
Type 2 Immunity Section,B-Cell Molecular Immunology Section,0.15085995085995085
Pathogen-Host Cell Biology Section,Immunobiology Section,0.1508066401683423
Translational Mycology Section,Lymphocyte Biology Section,0.150802538260545
Integrative Immunobiology Section,Computational Biology Unit,0.15077319587628865
Retroviral Immunology Section,Lung and Vascular Inflammation Section,0.15072237407262787
Molecular HIV Host Interactions Section,Hepatic Pathogenesis Section,0.15070422535211267
Plague Section,Innate Immunity and Pathogenesis Section,0.15070422535211267
Pathogen-Host Cell Biology Section,Lymphocyte Biology Section,0.15069301091123563
RML Flow Cytometry Unit,Prion Cell Biology Unit,0.15066666666666667
Malaria Cell Biology Section,Cellular Biology Section,0.1506402209389907
Human Immunological Diseases Section,Genetic Engineering Section,0.15063350539652745
RNA Viruses Section,DNA Tumor Virus Section,0.15063291139240506
Molecular and Cellular Immunology Section,Chemotaxis Signal Section,0.1506276150627615
Signaling Systems Section,Prion Cell Biology Unit,0.1506228765571914
Molecular and Cellular Immunoregulation Section,Intracellular Parasite Biology Section,0.1506172839506173
RNA Viruses Section,Neuroimmunology Unit,0.15060240963855423
Translational Mycology Section,Systems Genomics Section,0.15060240963855423
Molecular HIV Host Interactions Section,Immunobiology and Molecular Virology Unit,0.15058703420112302
Malaria Cell Biology Section,Genetic Engineering Section,0.1505510131532172
Inflammation Biology Section,Computational Biology Unit,0.15052041633306645
Mucosal Immunity Section,Genetic Engineering Section,0.15050522956922532
Viral Pathogenesis and Vaccine Section,Hepatic Pathogenesis Section,0.1505
T-Lymphocyte Biology Section,Antibacterial Host Defense Unit,0.15048543689320387
T-Lymphocyte Biology Section,Malaria Infection Biology and Immunity Unit,0.150472334682861
Fungal Pathogenesis Section,B-Cell Immunology Section,0.15047021943573669
Innate Immunity and Pathogenesis Section,Food Allergy Research Section,0.15046728971962617
T-Lymphocyte Biology Section,HIV Immunovirology Section,0.15044742729306487
Tuberculosis Research Section,Malaria Cell Biology Section,0.1504381694255112
Systems Genomics Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.1503965832824893
Molecular Microbiology Section,Immunobiology and Molecular Virology Unit,0.1503870254330999
Vector-Pathogen-Host Interaction Unit,Mucosal Immunity Section,0.15033616223961205
Molecular Pathology Section,Molecular Development of the Immune System Section,0.15033557046979865
Translational Mycology Section,Translational Autoinflammatory Disease Studies Unit,0.1503345139708776
Nonhuman Primate Virology Section,Immunobiology Section,0.1502566495566962
Translational Autoinflammatory Disease Studies Unit,Malaria Cell Biology Section,0.15024559375902918
Translational Autoinflammatory Disease Studies Unit,Barrier Immunity Section,0.1502403846153846
Viral Immunity and Pathogenesis Unit,Cell Signaling and Immunity Section,0.15021645021645022
Metaorganism Immunity Section,Emerging Respiratory Viruses Section,0.15019688730545658
Metaorganism Immunity Section,Medical Virology Section,0.15019688730545658
Genetic Immunotherapy Section,Cellular Immunology Section,0.15019313792319927
Mucosal Immunity Section,Disease Modeling and Transmission Section,0.1501818811709683
TSE/Prion Molecular Biology Section,Signaling Systems Section,0.1501736111111111
Viral Pathogenesis and Evolution Section,Molecular Microbiology Section,0.15012722646310434
Viral Immunology Section,T-Cell Tolerance and Memory Section,0.15011547344110854
Viral Immunity and Pathogenesis Unit,Barrier Immunity Section,0.15010141987829614
Retroviral Immunology Section,Inflammation & Innate Immunity Unit,0.1500732064421669
Nonhuman Primate Virology Section,Molecular Development of the Immune System Section,0.15006934812760056
Molecular HIV Host Interactions Section,Genomic Technologies Section,0.15006002400960383
Flow Cytometry Section,Barrier Immunity Section,0.15002199736031677
Hepatic Pathogenesis Section,Clinical and Molecular Retrovirology Section,0.1500202183582693
Viral Biology Section,Innate Immunity and Pathogenesis Section,0.15
Lung and Vascular Inflammation Section,Chemotaxis Signal Section,0.149978696207925
Lymphocyte Biology Section,Emerging Respiratory Viruses Section,0.14997070884592853
Medical Virology Section,Lymphocyte Biology Section,0.14997070884592853
Type 2 Immunity Section,Molecular Defenses Section,0.14996888612321096
Type 2 Immunity Section,Malaria Infection Biology and Immunity Unit,0.14996496145760335
Translational Mycology Section,Lung and Vascular Inflammation Section,0.1499617444529457
Clinical and Molecular Retrovirology Section,Cellular Immunology Section,0.14996011699016218
TSE/Prion Biochemistry Section,Malaria Cell Biology Section,0.14993804213135067
Viral Pathogenesis and Evolution Section,Molecular Parasitology Section,0.14993523316062177
Systems Genomics Section,Molecular Microbiology Section,0.14990689013035383
Transplant Infectious Diseases Consult Service,Translational Allergic Immunopathology Unit,0.14990689013035383
Molecular Parasitology Section,Metaorganism Immunity Section,0.14988368228647392
TSE/Prion Molecular Biology Section,Autoimmunity and Functional Genomics Section,0.1498447204968944
Fungal Pathogenesis Section,Emerging Virus Immunity Unit,0.14980916030534353
Molecular Development of the Immune System Section,Clinical Pathophysiology Section,0.14980613323933734
Virus Ecology Section,RML Microscopy Unit,0.14979757085020243
Molecular Parasitology Section,Malaria Immunology Section,0.1497407746264105
Physiology Unit,Flow Cytometry Section,0.14972677595628414
Virus Ecology Section,Barrier Immunity Section,0.1497239363429685
Translational Mycology Section,B-Cell Molecular Immunology Section,0.14972114972114972
Viral Immunity and Pathogenesis Unit,Scientist Emerita,0.14971977582065651
Signaling Systems Section,Immunity to Pulmonary Pathogens Section,0.1496924128503076
Translational Mycology Section,Pathogen Molecular Genetics Section,0.1496875
Genetic Immunotherapy Section,B-Cell Molecular Immunology Section,0.14967405475880052
Pathogen-Host Cell Biology Section,Molecular Defenses Section,0.14957918898240244
Viral Pathogenesis Section (Laboratory of Viral Diseases),Emerging Respiratory Viruses Section,0.14957358408047233
Viral Pathogenesis Section (Laboratory of Viral Diseases),Medical Virology Section,0.14957358408047233
Viral Immunity and Pathogenesis Unit,Molecular and Cellular Immunoregulation Section,0.14956331877729256
Type 2 Immunity Section,Barrier Immunity Section,0.14946764946764945
Viral Immunology Section,Viral Biology Section,0.14941972920696325
Vector Molecular Biology Section,Malaria Genetics Section,0.1494140625
TSE/Prion Molecular Biology Section,Pathology Core,0.1493993993993994
Molecular Microbiology Section,Cell Signaling and Immunity Section,0.14939605848696758
Viral Immunity and Pathogenesis Unit,Structural Biology Section,0.14937388193202147
Viral Pathogenesis Section (Laboratory of Viral Diseases),Molecular Biology Section,0.1493633692458374
Translational Mycology Section,Clinical and Molecular Retrovirology Section,0.14935988620199148
Malaria Infection Biology and Immunity Unit,Fungal Pathogenesis Section,0.14935064935064934
T-Lymphocyte Biology Section,Lung and Vascular Inflammation Section,0.14934791754312157
Molecular Parasitology Section,Chlamydial Diseases Section,0.14934696195343555
Microbial Pathogenesis Section,Lung and Vascular Inflammation Section,0.14934140263438947
Viral Immunology Section,Chlamydial Diseases Section,0.14933741080530072
Mucosal Immunity Section,Malaria Functional Genomics Section,0.14933114933114933
T-Lymphocyte Biology Section,Primary Immune Deficiency Clinic,0.1493212669683258
Structural Immunology Section,Molecular Entomology Unit,0.14926372155287818
Viral Immunology Section,Human Immunological Diseases Section,0.1492159838138594
Mucosal Immunity Section,Clinical Pathophysiology Section,0.1492063492063492
RNA Viruses Section,Mucosal Immunobiology Section,0.14918414918414918
Molecular Development of the Immune System Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.14918032786885246
Molecular Microbiology Section,Molecular Defenses Section,0.14916903121199837
Viral Immunology Section,Type 2 Immunity Section,0.1491628614916286
Pathogen-Host Cell Biology Section,Human Immunological Diseases Section,0.1491611123879568
Malaria Infection Biology and Immunity Unit,Emerging Respiratory Viruses Section,0.14913544668587897
Medical Virology Section,Malaria Infection Biology and Immunity Unit,0.14913544668587897
Nonhuman Primate Virology Section,HIV Pathogenesis Section,0.14913366336633663
Mast Cell Biology Section,Lymphocyte Biology Section,0.14913127413127414
Molecular Parasitology Section,Molecular Entomology Unit,0.14909726266744322
Innate Immunity and Pathogenesis Section,Fungal Pathogenesis Section,0.14909297052154194
Malaria Infection Biology and Immunity Unit,Genomic Technologies Section,0.149079754601227
HIV Pathogenesis Section,Epidemiology and Population Studies Unit,0.14905584572117317
Chlamydial Diseases Section,Caliciviruses Section,0.14904143475572046
Signaling Systems Section,Lymphocyte Biology Section,0.149010989010989
Viral Pathogenesis Section (Laboratory of Viral Diseases),Genomic Technologies Section,0.1489465948064674
Translational Mycology Section,Human Immunological Diseases Section,0.1489420170376477
Pathogen-Host Cell Biology Section,Intracellular Parasite Biology Section,0.14883015597920277
Viral Immunity and Pathogenesis Unit,Translational Mycology Section,0.1488095238095238
Prion Cell Biology Unit,Computational Biology Unit,0.14878397711015737
Viral Pathogenesis and Vaccine Section,Malaria Cell Biology Section,0.1486817903126916
Metaorganism Immunity Section,Clinical and Molecular Retrovirology Section,0.1486306833289019
Immune Activation Section,Helminth Immunology Section,0.14862518089725035
Molecular Signaling Section,Helminth Immunology Section,0.14862518089725035
Mucosal Immunity Section,HIV-Specific Immunity Section,0.14862267777065982
Plague Section,Genomic Technologies Section,0.14859926918392205
Neuroimmunology Unit,Cellular Immunology Section,0.1485884101040119
Signaling Systems Section,Plague Section,0.14856711915535445
Molecular Pathogenesis and Biomarkers Section,Emerging Virus Immunity Unit,0.14853747714808044
Molecular Development of the Immune System Section,HIV Immunovirology Section,0.14853486022229706
RML Microscopy Unit,Molecular and Cellular Immunology Section,0.14853358561967833
Vector Biology Section,Malaria Functional Genomics Section,0.14852700490998363
Hepatic Pathogenesis Section,Epidemiology and Population Studies Unit,0.1485210824417873
Viral Immunity and Pathogenesis Unit,TSE/Prion and Retroviral Pathogenesis Section,0.14850843060959792
Innate Immunity and Pathogenesis Section,Antibacterial Host Defense Unit,0.14849785407725322
Viral Biology Section,Mosquito Immunity and Vector Competence Section,0.14845360824742268
Pathogen Molecular Genetics Section,Genetic Immunotherapy Section,0.14843915905712465
Neuroimmunological Diseases Section,Inflammation Biology Section,0.1484375
Viral Immunology Section,Fungal Pathogenesis Section,0.14834935227747598
Immune Deficiency Genetics Section,Disease Modeling and Transmission Section,0.14831460674157304
Clinical Microbiome Unit (CMU),Allergy and Immunology Clinical Training Program,0.1483050847457627
Viral Pathogenesis Section (Laboratory of Viral Diseases),Immunity to Pulmonary Pathogens Section,0.1482741857073408
Mosquito Immunity and Vector Competence Section,Molecular Parasitology Section,0.1482739105829089
Type 2 Immunity Section,RML Genomics Unit,0.14826021180030258
Lymphocyte Biology Section,Computational Biology Unit,0.1482544237207078
RNA Viruses Section,Genomic Technologies Section,0.14823133071308253
