section_a,section_b,journal_cat_similarity
Immunopathogenesis Section (Laboratory of Immunoregulation),Helminth Immunology Section,0.34252297410192145
Pathogen-Host Cell Biology Section,Cell Signaling and Immunity Section,0.342512908777969
Structural Immunology Section,Genomic Technologies Section,0.3424657534246575
TSE/Prion Biochemistry Section,Mosquito Immunity and Vector Competence Section,0.34243697478991597
TSE/Prion and Retroviral Pathogenesis Section,HIV Immunovirology Section,0.3424242424242424
RML Genomics Unit,Gene Regulation Section,0.34226190476190477
TSE/Prion Biochemistry Section,RNA Viruses Section,0.3422562141491396
Helminth Immunology Section,Cellular Biology Section,0.3421727972626176
Virus Ecology Section,TSE/Prion and Retroviral Pathogenesis Section,0.3421588594704684
Structural Virology Section,Malaria Infection Biology and Immunity Unit,0.34210526315789475
Viral Immunity and Pathogenesis Unit,Antibacterial Host Defense Unit,0.34210526315789475
Innate Immunity and Pathogenesis Section,Caliciviruses Section,0.3419354838709677
RNA Viruses Section,Plague Section,0.34190231362467866
Malaria Cell Biology Section,Immunobiology and Molecular Virology Unit,0.3415841584158416
Viral Immunity and Pathogenesis Unit,Translational Allergic Immunopathology Unit,0.3415841584158416
Salmonella-Host Cell Interactions Section,Innate Immunity and Pathogenesis Section,0.3415492957746479
Viral Immunity and Pathogenesis Unit,Food Allergy Research Section,0.34146341463414637
Disease Modeling and Transmission Section,Cellular Biology Section,0.3414239482200647
Malaria Infection Biology and Immunity Unit,HIV-Specific Immunity Section,0.3414043583535109
TSE/Prion Biochemistry Section,Malaria Functional Genomics Section,0.3413654618473896
Lymphocyte Biology Section,Barrier Immunity Section,0.34134615384615385
Molecular Biology Section,B-Cell Molecular Immunology Section,0.34124629080118696
Systems Genomics Section,Retroviral Immunology Section,0.3412256267409471
Metaorganism Immunity Section,Clinical Research Section,0.3411978221415608
Viral Pathogenesis and Vaccine Section,Immunobiology and Molecular Virology Unit,0.3411016949152542
TSE/Prion Biochemistry Section,Nonhuman Primate Virology Section,0.340941512125535
Tuberculosis Research Section,Clinical and Molecular Retrovirology Section,0.34080717488789236
Plague Section,HIV Immunovirology Section,0.34055727554179566
TSE/Prion Biochemistry Section,Coxiella Pathogenesis Section,0.34049586776859503
TSE/Prion and Retroviral Pathogenesis Section,TSE/Prion Molecular Biology Section,0.34049079754601225
Metaorganism Immunity Section,Fungal Pathogenesis Section,0.3404255319148936
Type 2 Immunity Section,RML Flow Cytometry Unit,0.3404255319148936
Virus Ecology Section,Malaria Functional Genomics Section,0.3403068340306834
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Emerging Respiratory Viruses Section,0.3403019744483159
Medical Virology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.3403019744483159
Mosquito Immunity and Vector Competence Section,Molecular Pathogenesis and Biomarkers Section,0.34025974025974026
Viral Pathogenesis Section (Laboratory of Viral Diseases),TSE/Prion Molecular Biology Section,0.34011627906976744
Virus Ecology Section,Fungal Pathogenesis Section,0.3400735294117647
Translational Immunobiology Unit,TSE/Prion and Retroviral Pathogenesis Section,0.3400576368876081
Virus Ecology Section,Clinical and Molecular Retrovirology Section,0.33996937212863704
Mosquito Immunity and Vector Competence Section,Malaria Cell Biology Section,0.33984375
Molecular Development of the Immune System Section,Human Eosinophil Section,0.3397129186602871
HIV-Specific Immunity Section,Clinical and Molecular Retrovirology Section,0.3396825396825397
Pathogen-Host Cell Biology Section,Helminth Immunology Section,0.3396551724137931
Genomic Technologies Section,B-Cell Immunology Section,0.33962264150943394
Retroviral Immunology Section,Metaorganism Immunity Section,0.33958333333333335
Immune Activation Section,HIV-Specific Immunity Section,0.3395348837209302
Molecular Signaling Section,HIV-Specific Immunity Section,0.3395348837209302
Systems Genomics Section,Helminth Immunology Section,0.3395348837209302
Salmonella-Host Cell Interactions Section,HIV-Specific Immunity Section,0.3394919168591224
Salmonella-Host Cell Interactions Section,DNA Tumor Virus Section,0.3394495412844037
Immunity to Pulmonary Pathogens Section,Emerging Virus Immunity Unit,0.3390928725701944
Lymphocyte Biology Section,Immune Activation Section,0.3390894819466248
Molecular Signaling Section,Lymphocyte Biology Section,0.3390894819466248
Viral Pathogenesis Section (Laboratory of Immunoregulation),Molecular Development of the Immune System Section,0.3389830508474576
Twinbrook Imaging Facility,Molecular Defenses Section,0.3389355742296919
Molecular Microbiology Section,Malaria Immunology Section,0.338785046728972
Pathogen-Host Cell Biology Section,Human Eosinophil Section,0.33875739644970415
Twinbrook Imaging Facility,B-Cell Molecular Immunology Section,0.3387096774193548
Structural Biology Section,Innate Immunity and Pathogenesis Section,0.3385416666666667
T-Lymphocyte Biology Section,RML Genomics Unit,0.3384615384615385
Fungal Pathogenesis Section,Clinical Research Section,0.3383177570093458
Vector Molecular Biology Section,Malaria Functional Genomics Section,0.33815689261233817
Malaria Infection Biology and Immunity Unit,Infectious Disease Pathogenesis Section,0.3380952380952381
Infectious Disease Fellowship Training Program,Fungal Pathogenesis Section,0.3380855397148676
T-Lymphocyte Biology Section,Molecular Parasitology Section,0.3380681818181818
Vector Biology Section,Pathogen Molecular Genetics Section,0.3379694019471488
Inflammation & Innate Immunity Unit,Immunity to Pulmonary Pathogens Section,0.33793103448275863
Viral Pathogenesis and Evolution Section,Fungal Pathogenesis Section,0.33793103448275863
Plague Section,Immunobiology and Molecular Virology Unit,0.3378995433789954
Viral Biochemistry Section,HIV Immunovirology Section,0.33783783783783783
Viral Pathogenesis and Vaccine Section,Viral Biology Section,0.337696335078534
Molecular HIV Host Interactions Section,HIV Pathogenesis Section,0.3375912408759124
RML Genomics Unit,Host-Pathogen Interactions and Structural Vaccinology Section,0.3373860182370821
Virus Ecology Section,Molecular Microbiology Section,0.3373676248108926
TSE/Prion Biochemistry Section,Plague Section,0.3372093023255814
Virus Ecology Section,Viral Biology Section,0.3370288248337029
Emerging Virus Immunity Unit,Caliciviruses Section,0.3370044052863436
Molecular Microbiology Section,HIV-Specific Immunity Section,0.33699059561128525
Pathogen Molecular Genetics Section,Malaria Functional Genomics Section,0.3368888888888889
Primary Immune Deficiency Clinic,Human Eosinophil Section,0.336864406779661
RML Genomics Unit,Coxiella Pathogenesis Section,0.3367983367983368
T-Lymphocyte Biology Section,Lymphocyte Biology Section,0.33676092544987146
TSE/Prion Molecular Biology Section,DNA Tumor Virus Section,0.336734693877551
TSE/Prion Molecular Biology Section,Host-Parasite Interactions Section,0.3367003367003367
Retroviral Immunology Section,Autoimmunity and Functional Genomics Section,0.33663366336633666
Immunopathogenesis Section (Laboratory of Immunoregulation),Immunity to Pulmonary Pathogens Section,0.33658536585365856
Viral Pathogenesis Section (Laboratory of Viral Diseases),RML Genomics Unit,0.33653846153846156
Viral Pathogenesis Section (Laboratory of Immunoregulation),Viral Biology Section,0.33651551312649164
Molecular Pathogenesis and Biomarkers Section,Molecular HIV Host Interactions Section,0.3364485981308411
Clinical and Molecular Retrovirology Section,Cellular Immunology Section,0.33641975308641975
Molecular Microbiology Section,Malaria Functional Genomics Section,0.336283185840708
Immunopathogenesis Section (Laboratory of Immunoregulation),Cellular Immunology Section,0.33617021276595743
Viral Biology Section,TSE/Prion Biochemistry Section,0.3360995850622407
Metaorganism Immunity Section,Clinical and Molecular Retrovirology Section,0.3359872611464968
Mosquito Immunity and Vector Competence Section,Molecular Pathogenesis Unit,0.3359683794466403
Viral Biochemistry Section,Translational Immunobiology Unit,0.3359173126614987
Structural Immunology Section,Malaria Infection Biology and Immunity Unit,0.33587786259541985
Nonhuman Primate Virology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.33584905660377357
Tuberculosis Research Section,Disease Modeling and Transmission Section,0.3357348703170029
Pathogen-Host Cell Biology Section,Molecular HIV Host Interactions Section,0.3356643356643357
RML Microscopy Unit,B-Cell Molecular Immunology Section,0.33564814814814814
Molecular HIV Host Interactions Section,Molecular Biology Section,0.3356164383561644
Viral Pathogenesis Section (Laboratory of Immunoregulation),Immune Activation Section,0.335423197492163
Viral Pathogenesis Section (Laboratory of Immunoregulation),Molecular Signaling Section,0.335423197492163
Virus Ecology Section,Plague Section,0.33539094650205764
Viral Immunity and Pathogenesis Unit,Integrative Immunobiology Section,0.3353658536585366
Viral Pathogenesis Section (Laboratory of Viral Diseases),Coxiella Pathogenesis Section,0.3353413654618474
Innate Immunity and Pathogenesis Section,Antibacterial Host Defense Unit,0.3352272727272727
Malaria Infection Biology and Immunity Unit,Immunobiology and Molecular Virology Unit,0.3350383631713555
RML Genomics Unit,Immunobiology and Molecular Virology Unit,0.33482142857142855
RML Genomics Unit,HIV-Specific Immunity Section,0.3347457627118644
Immunobiology and Molecular Virology Unit,Emerging Virus Immunity Unit,0.3346303501945525
RML Microscopy Unit,Molecular Development of the Immune System Section,0.3346153846153846
Viral Pathogenesis Section (Laboratory of Immunoregulation),Emerging Virus Immunity Unit,0.33459357277882795
Immunity to Pulmonary Pathogens Section,Immune Activation Section,0.3344947735191638
Molecular Signaling Section,Immunity to Pulmonary Pathogens Section,0.3344947735191638
TSE/Prion Biochemistry Section,Fungal Pathogenesis Section,0.3344887348353553
TSE/Prion Molecular Biology Section,Plague Section,0.334375
Immune Deficiency Genetics Section,Cellular Immunology Section,0.3343589743589744
Pathogen Molecular Genetics Section,Coxiella Pathogenesis Section,0.33434959349593496
Systems Genomics Section,Coxiella Pathogenesis Section,0.3341772151898734
Malaria Cell Biology Section,Disease Modeling and Transmission Section,0.33415637860082303
Molecular HIV Host Interactions Section,Molecular Development of the Immune System Section,0.33396946564885494
Molecular HIV Host Interactions Section,Cellular Biology Section,0.3339041095890411
Gene Regulation Section,Apicomplexan Molecular Physiology Section,0.3333333333333333
Genomic Technologies Section,Flow Cytometry Section,0.3333333333333333
Host-Parasite Interactions Section,Fungal Pathogenesis Section,0.3333333333333333
Mucosal Immunobiology Section,Molecular and Cellular Immunology Section,0.3333333333333333
RML Microscopy Unit,Neuroimmunology Unit,0.3333333333333333
Salmonella-Host Cell Interactions Section,Fungal Pathogenesis Section,0.3333333333333333
Structural Immunology Section,Structural Biology Section,0.3333333333333333
Viral Immunity and Pathogenesis Unit,Malaria Infection Biology and Immunity Unit,0.3333333333333333
Viral Immunology Section,Plague Section,0.3333333333333333
Vector Molecular Biology Section,Pathogen-Host Cell Biology Section,0.33280881195908735
Clinical and Molecular Retrovirology Section,Cell Signaling and Immunity Section,0.33274647887323944
Retroviral Immunology Section,Molecular Pathogenesis and Biomarkers Section,0.3325892857142857
Vector Biology Section,Malaria Immunology Section,0.33252230332522303
Immunity to Pulmonary Pathogens Section,Cell Signaling and Immunity Section,0.33251231527093594
Viral Biochemistry Section,T-Lymphocyte Biology Section,0.3324175824175824
Viral Biochemistry Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.3323170731707317
Viral Pathogenesis Section (Laboratory of Immunoregulation),Cellular Biology Section,0.332312404287902
Gene Regulation Section,DNA Tumor Virus Section,0.33223684210526316
HIV Immunovirology Section,Clinical Pathophysiology Section,0.33221476510067116
Viral Immunity and Pathogenesis Unit,Molecular HIV Host Interactions Section,0.33220338983050846
RML Microscopy Unit,Cellular Biology Section,0.33218588640275387
Immune Activation Section,B-Cell Immunology Section,0.33205374280230326
Molecular Signaling Section,B-Cell Immunology Section,0.33205374280230326
Lymphocyte Biology Section,B-Cell Molecular Immunology Section,0.33201581027667987
HIV Pathogenesis Section,B-Cell Immunology Section,0.332
Immunobiology and Molecular Virology Unit,Fungal Pathogenesis Section,0.332
Retroviral Immunology Section,Clinical Research Section,0.332
Neuroimmunology Unit,Autoimmunity and Functional Genomics Section,0.3319838056680162
Molecular and Cellular Immunoregulation Section,Clinical Research Section,0.3319672131147541
Viral Budding Unit,Neuroimmunology Unit,0.33185840707964603
Viral Budding Unit,Viral Biology Section,0.33185840707964603
Molecular HIV Host Interactions Section,B-Cell Molecular Immunology Section,0.3318077803203661
Virus Ecology Section,Innate Immunity and Pathogenesis Section,0.3317422434367542
Mucosal Immunobiology Section,Cellular Immunology Section,0.3317307692307692
Metaorganism Immunity Section,Human Eosinophil Section,0.33157894736842103
RML Flow Cytometry Unit,Molecular Biology Section,0.33152173913043476
T-Lymphocyte Biology Section,B-Cell Molecular Immunology Section,0.33152173913043476
Viral Immunology Section,DNA Tumor Virus Section,0.33147632311977715
Translational Autoinflammatory Disease Studies Unit,B-Cell Immunology Section,0.3314285714285714
Fungal Pathogenesis Section,Clinical and Molecular Retrovirology Section,0.33115823817292006
Retroviral Immunology Section,B-Cell Molecular Immunology Section,0.33114035087719296
Neuroimmunology Unit,B-Cell Immunology Section,0.33112582781456956
Translational Autoinflammatory Disease Studies Unit,B-Cell Molecular Immunology Section,0.33109619686800895
Molecular Genetics Section (Laboratory of Bacteriology),Malaria Immunology Section,0.3310626702997275
Mucosal Immunity Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.33099579242636745
Pathogen-Host Cell Biology Section,Cellular Immunology Section,0.33083832335329344
Innate Immunity and Pathogenesis Section,HIV-Specific Immunity Section,0.33080808080808083
Viral Pathogenesis and Vaccine Section,DNA Tumor Virus Section,0.33078880407124683
RML Microscopy Unit,Molecular HIV Host Interactions Section,0.330749354005168
Plague Section,Caliciviruses Section,0.33070866141732286
Viral Immunology Section,Immunobiology Section,0.33070866141732286
TSE/Prion Molecular Biology Section,Immunobiology and Molecular Virology Unit,0.3306878306878307
Molecular Parasitology Section,Innate Immunity and Pathogenesis Section,0.33048433048433046
Human Eosinophil Section,Barrier Immunity Section,0.3303303303303303
T-Lymphocyte Biology Section,RNA Viruses Section,0.3302752293577982
RML Microscopy Unit,Apicomplexan Molecular Physiology Section,0.330188679245283
Pathogenesis and Immunity Section,Microbial Pathogenesis Section,0.3300970873786408
Vaccine Development Unit,Microbial Pathogenesis Section,0.3300970873786408
Translational Allergic Immunopathology Unit,Molecular and Cellular Immunoregulation Section,0.3300653594771242
Molecular Pathogenesis and Biomarkers Section,Molecular Microbiology Section,0.33001658374792703
Malaria Immunology Section,Malaria Genetics Section,0.32996323529411764
Translational Immunobiology Unit,Malaria Infection Biology and Immunity Unit,0.3299319727891156
RML Flow Cytometry Unit,Flow Cytometry Section,0.32972972972972975
Viral Pathogenesis and Vaccine Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.32972136222910214
RML Genomics Unit,DNA Tumor Virus Section,0.329700272479564
Building 33,Antibacterial Host Defense Unit,0.32967032967032966
Clinical Research Section,Cellular Biology Section,0.3293943870014771
Immunopathogenesis Section (Laboratory of Immunoregulation),Immunobiology and Molecular Virology Unit,0.32934131736526945
International HIV/STD Section,Helminth Immunology Section,0.32929467762873216
Retroviral Immunology Section,Molecular HIV Host Interactions Section,0.32926829268292684
Immunity to Pulmonary Pathogens Section,Clinical Research Section,0.3292181069958848
HIV Immunovirology Section,Emerging Virus Immunity Unit,0.32917705735660846
Molecular and Cellular Immunoregulation Section,Molecular HIV Host Interactions Section,0.32914572864321606
Translational Immunobiology Unit,RML Flow Cytometry Unit,0.3291139240506329
Type 2 Immunity Section,Structural Virology Section,0.3291139240506329
Malaria Cell Biology Section,Host-Parasite Interactions Section,0.32894736842105265
Malaria Immunology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.32858707557502737
Tuberculosis Research Section,Molecular Microbiology Section,0.32855567805953695
Structural Immunology Section,Molecular Defenses Section,0.3285302593659942
Molecular Pathogenesis and Biomarkers Section,Immunobiology and Molecular Virology Unit,0.3285123966942149
Viral Pathogenesis Section (Laboratory of Immunoregulation),Clinical Research Section,0.32849364791288566
Viral Biochemistry Section,Pathogen-Host Cell Biology Section,0.3284789644012945
Structural Biology Section,HIV Immunovirology Section,0.3284313725490196
Viral Biochemistry Section,Host-Parasite Interactions Section,0.3284313725490196
Inflammation & Innate Immunity Unit,Genomic Technologies Section,0.3283582089552239
Pathogenesis and Immunity Section,Pathogen-Host Cell Biology Section,0.3283582089552239
Vaccine Development Unit,Pathogen-Host Cell Biology Section,0.3283582089552239
Vector Biology Section,Malaria Functional Genomics Section,0.3282051282051282
Molecular HIV Host Interactions Section,Fungal Pathogenesis Section,0.328125
Structural Immunology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.328
Caliciviruses Section,Biology of Vector-Borne Viruses Section,0.3279742765273312
Malaria Cell Biology Section,HIV Immunovirology Section,0.32796780684104626
Pathogen-Host Cell Biology Section,Host-Parasite Interactions Section,0.32786885245901637
Viral Biology Section,Structural Virology Section,0.32786885245901637
Lung and Vascular Inflammation Section,Genomic Technologies Section,0.32779097387173395
Systems Genomics Section,Nonhuman Primate Virology Section,0.3277216610549944
Viral Pathogenesis and Vaccine Section,T-Lymphocyte Biology Section,0.327683615819209
Molecular and Cellular Immunoregulation Section,Autoimmunity and Functional Genomics Section,0.32764505119453924
TSE/Prion Molecular Biology Section,Neuroimmunology Unit,0.32752613240418116
Viral Pathogenesis Section (Laboratory of Immunoregulation),Viral Immunology Section,0.32751091703056767
Pathogen-Host Cell Biology Section,Immunobiology and Molecular Virology Unit,0.3275039745627981
Viral Immunity and Pathogenesis Unit,Infectious Disease Pathogenesis Section,0.3273809523809524
RNA Viruses Section,Molecular Genetics Section (Laboratory of Bacteriology),0.327313769751693
HIV-Specific Immunity Section,Emerging Respiratory Viruses Section,0.327217125382263
Medical Virology Section,HIV-Specific Immunity Section,0.327217125382263
Molecular and Cellular Immunology Section,HIV-Specific Immunity Section,0.32717190388170053
Retroviral Immunology Section,Lymphocyte Biology Section,0.32708333333333334
DNA Tumor Virus Section,Barrier Immunity Section,0.32706766917293234
Viral Immunity and Pathogenesis Unit,Metaorganism Immunity Section,0.327027027027027
Viral Pathogenesis Section (Laboratory of Viral Diseases),Malaria Cell Biology Section,0.3270223752151463
HIV-Specific Immunity Section,Fungal Pathogenesis Section,0.3269961977186312
Gene Regulation Section,Biology of Vector-Borne Viruses Section,0.3269230769230769
Viral Pathogenesis and Evolution Section,Nonhuman Primate Virology Section,0.3267882187938289
Viral Immunity and Pathogenesis Unit,Molecular and Cellular Immunoregulation Section,0.32673267326732675
Type 2 Immunity Section,RNA Viruses Section,0.32670454545454547
Mucosal Immunobiology Section,HIV-Specific Immunity Section,0.3266832917705736
Viral Immunity and Pathogenesis Unit,Immunity to Pulmonary Pathogens Section,0.32666666666666666
Molecular Microbiology Section,Host-Parasite Interactions Section,0.32653061224489793
Molecular and Cellular Immunoregulation Section,HIV Immunovirology Section,0.3264094955489614
Virus Ecology Section,Translational Mycology Section,0.3263327948303716
Malaria Immunology Section,Immunobiology Section,0.326226012793177
HIV Immunovirology Section,Flow Cytometry Section,0.3261802575107296
Structural Virology Section,RML Microscopy Unit,0.32616487455197135
Molecular and Cellular Immunoregulation Section,Clinical Pathophysiology Section,0.32608695652173914
Plague Section,Genomic Technologies Section,0.32608695652173914
Retroviral Immunology Section,Molecular Genetics Section (Laboratory of Bacteriology),0.32603938730853393
Viral Pathogenesis Section (Laboratory of Viral Diseases),Molecular Pathogenesis Unit,0.32601880877742945
RML Microscopy Unit,DNA Tumor Virus Section,0.32590529247910865
Viral Immunity and Pathogenesis Unit,Innate Immunity and Pathogenesis Section,0.32589285714285715
Molecular Microbiology Section,Cellular Biology Section,0.32588699080157685
Virus Ecology Section,HIV Pathogenesis Section,0.3256880733944954
Host-Parasite Interactions Section,HIV Immunovirology Section,0.3256578947368421
Immunobiology and Molecular Virology Unit,HIV Immunovirology Section,0.3255208333333333
Lymphocyte Biology Section,Clinical Research Section,0.325497287522604
Pathogen-Host Cell Biology Section,Mucosal Immunity Section,0.3254437869822485
Translational Allergic Immunopathology Unit,Integrative Immunobiology Section,0.3254437869822485
RML Microscopy Unit,Molecular Parasitology Section,0.3254156769596199
Fungal Pathogenesis Section,Cell Signaling and Immunity Section,0.32537960954446854
Viral Biology Section,HIV Immunovirology Section,0.3253424657534247
Molecular HIV Host Interactions Section,Genomic Technologies Section,0.32526881720430106
Viral Pathogenesis Section (Laboratory of Viral Diseases),Mosquito Immunity and Vector Competence Section,0.32526881720430106
Translational Mycology Section,Fungal Pathogenesis Section,0.32521739130434785
Malaria Immunology Section,Clinical and Molecular Retrovirology Section,0.32517482517482516
Salmonella-Host Cell Interactions Section,Molecular Genetics Section (Laboratory of Bacteriology),0.3251231527093596
Structural Immunology Section,B-Cell Molecular Immunology Section,0.325068870523416
Virus Ecology Section,Emerging Respiratory Viruses Section,0.3250497017892644
Virus Ecology Section,Medical Virology Section,0.3250497017892644
Malaria Cell Biology Section,Chlamydial Diseases Section,0.325
Viral Immunology Section,TSE/Prion and Retroviral Pathogenesis Section,0.3248730964467005
TSE/Prion Molecular Biology Section,Malaria Infection Biology and Immunity Unit,0.3248175182481752
Molecular Pathogenesis Unit,Immunobiology and Molecular Virology Unit,0.3247863247863248
Viral Immunology Section,Fungal Pathogenesis Section,0.3243847874720358
Neuroimmunology Unit,Molecular Pathogenesis Unit,0.32432432432432434
Structural Virology Section,Molecular Biology Section,0.32432432432432434
Systems Genomics Section,Emerging Respiratory Viruses Section,0.32432432432432434
Systems Genomics Section,Medical Virology Section,0.32432432432432434
Clinical and Molecular Retrovirology Section,B-Cell Immunology Section,0.3241650294695481
Inflammation Biology Section,Autoimmunity and Functional Genomics Section,0.32413793103448274
Viral Pathogenesis Section (Laboratory of Immunoregulation),Salmonella-Host Cell Interactions Section,0.32400932400932403
Immunobiology and Molecular Virology Unit,Coxiella Pathogenesis Section,0.32397003745318353
Viral Immunology Section,Human Eosinophil Section,0.323943661971831
Viral Pathogenesis Section (Laboratory of Viral Diseases),Immunopathogenesis Section (Laboratory of Immunoregulation),0.323943661971831
Genomic Technologies Section,Gene Regulation Section,0.3238095238095238
Molecular Development of the Immune System Section,Genetic Immunotherapy Section,0.3236658932714617
Immunopathogenesis Section (Laboratory of Immunoregulation),Emerging Virus Immunity Unit,0.32365747460087085
Mucosal Immunobiology Section,Malaria Infection Biology and Immunity Unit,0.3235294117647059
RNA Viruses Section,Molecular Pathogenesis Unit,0.3234323432343234
Systems Genomics Section,Malaria Genetics Section,0.32342342342342345
Translational Autoinflammatory Disease Studies Unit,Autoimmunity and Functional Genomics Section,0.32323232323232326
Type 2 Immunity Section,B-Cell Immunology Section,0.32323232323232326
Helminth Immunology Section,HIV Pathogenesis Section,0.32319721980886185
HIV Pathogenesis Section,HIV Immunovirology Section,0.3231707317073171
Viral Immunology Section,TSE/Prion Biochemistry Section,0.3231357552581262
Translational Autoinflammatory Disease Studies Unit,Immune Activation Section,0.3230769230769231
Translational Autoinflammatory Disease Studies Unit,Molecular Signaling Section,0.3230769230769231
RML Flow Cytometry Unit,Gene Regulation Section,0.3230088495575221
Structural Biology Section,Autoimmunity and Functional Genomics Section,0.32298136645962733
Viral Biochemistry Section,Malaria Cell Biology Section,0.3228476821192053
Metaorganism Immunity Section,Immunity to Pulmonary Pathogens Section,0.3227176220806794
Mucosal Immunity Section,HIV Pathogenesis Section,0.32262996941896027
Molecular HIV Host Interactions Section,Malaria Infection Biology and Immunity Unit,0.3225806451612903
Molecular Pathogenesis Unit,Antibacterial Host Defense Unit,0.3225806451612903
TSE/Prion Biochemistry Section,Salmonella-Host Cell Interactions Section,0.3225152129817444
T-Lymphocyte Biology Section,Structural Virology Section,0.32242990654205606
RML Flow Cytometry Unit,Integrative Immunobiology Section,0.3223684210526316
Structural Virology Section,Integrative Immunobiology Section,0.3223684210526316
Immunobiology Section,Fungal Pathogenesis Section,0.3223495702005731
Retroviral Immunology Section,Molecular and Cellular Immunology Section,0.32231404958677684
TSE/Prion Biochemistry Section,Molecular Development of the Immune System Section,0.32223903177004537
Molecular Defenses Section,Chemotaxis Signal Section,0.32222222222222224
Pathogen-Host Cell Biology Section,Malaria Functional Genomics Section,0.32222222222222224
Molecular Microbiology Section,Microbial Pathogenesis Section,0.322213181448332
Viral Pathogenesis Section (Laboratory of Immunoregulation),B-Cell Molecular Immunology Section,0.32220039292730845
Host-Pathogen Interactions and Structural Vaccinology Section,DNA Tumor Virus Section,0.3221476510067114
Viral Epidemiology and Immunity Unit,Quantitative Virology and Evolution Unit,0.3220338983050847
Fungal Pathogenesis Section,Cellular Biology Section,0.3219814241486068
Viral Pathogenesis and Evolution Section,Viral Immunology Section,0.32196969696969696
Viral Pathogenesis Section (Laboratory of Immunoregulation),Malaria Infection Biology and Immunity Unit,0.32195121951219513
Fungal Pathogenesis Section,B-Cell Molecular Immunology Section,0.32193158953722334
Pathogen-Host Cell Biology Section,Disease Modeling and Transmission Section,0.32180209171359614
Molecular and Cellular Immunoregulation Section,Fungal Pathogenesis Section,0.32166301969365424
Molecular Pathogenesis and Biomarkers Section,HIV Pathogenesis Section,0.32154882154882153
Clinical Research Section,Caliciviruses Section,0.32150313152400833
HIV-Specific Immunity Section,Clinical Research Section,0.32149200710479575
Inflammation & Innate Immunity Unit,Host-Pathogen Interactions and Structural Vaccinology Section,0.32142857142857145
Microbial Pathogenesis Section,Intracellular Parasite Biology Section,0.3213264722698685
Viral Pathogenesis Section (Laboratory of Viral Diseases),Gene Regulation Section,0.32122905027932963
Molecular Pathogenesis Unit,Immunity to Pulmonary Pathogens Section,0.3211920529801324
TSE/Prion and Retroviral Pathogenesis Section,Molecular Pathogenesis Unit,0.3211920529801324
Mosquito Immunity and Vector Competence Section,Immunity to Pulmonary Pathogens Section,0.3211267605633803
Pathogen-Host Cell Biology Section,Clinical Research Section,0.3208955223880597
T-Lymphocyte Biology Section,Clinical Pathophysiology Section,0.32081911262798635
Molecular Pathogenesis and Biomarkers Section,Emerging Virus Immunity Unit,0.3207920792079208
Infectious Disease Pathogenesis Section,Building 33,0.32075471698113206
Vector Molecular Biology Section,Emerging Respiratory Viruses Section,0.3207196029776675
Vector Molecular Biology Section,Medical Virology Section,0.3207196029776675
Immunobiology and Molecular Virology Unit,Immune Activation Section,0.32063492063492066
Molecular Signaling Section,Immunobiology and Molecular Virology Unit,0.32063492063492066
Integrative Immunobiology Section,Food Allergy Research Section,0.32061068702290074
Clinical Pathophysiology Section,B-Cell Immunology Section,0.32051282051282054
Immunobiology and Molecular Virology Unit,Gene Regulation Section,0.32051282051282054
Viral Pathogenesis Section (Laboratory of Immunoregulation),RML Genomics Unit,0.32051282051282054
RML Microscopy Unit,Malaria Immunology Section,0.32028985507246377
Virus Ecology Section,Clinical Research Section,0.3202725724020443
Type 2 Immunity Section,Mosquito Immunity and Vector Competence Section,0.3202614379084967
Viral Pathogenesis Section (Laboratory of Immunoregulation),Plague Section,0.3202614379084967
Viral Pathogenesis Section (Laboratory of Viral Diseases),Structural Virology Section,0.3202614379084967
TSE/Prion Biochemistry Section,Immune Activation Section,0.32016925246826516
TSE/Prion Biochemistry Section,Molecular Signaling Section,0.32016925246826516
Primary Immune Deficiency Clinic,Molecular and Cellular Immunoregulation Section,0.3201058201058201
Microbial Pathogenesis Section,Cellular Biology Section,0.3200319233838787
Tuberculosis Research Section,Emerging Respiratory Viruses Section,0.3200319233838787
Tuberculosis Research Section,Medical Virology Section,0.3200319233838787
Molecular Parasitology Section,Host-Parasite Interactions Section,0.32
Molecular Pathogenesis and Biomarkers Section,Clinical Research Section,0.32
Structural Biology Section,Biological Imaging,0.32
Virus Ecology Section,Molecular Pathogenesis Unit,0.32
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Genetic Immunotherapy Section,0.31994901210962395
Immunopathogenesis Section (Laboratory of Immunoregulation),Disease Modeling and Transmission Section,0.31984435797665367
Virus Ecology Section,Barrier Immunity Section,0.31981981981981983
Structural Biology Section,Molecular Pathogenesis Unit,0.31976744186046513
Systems Genomics Section,Molecular Genetics Section (Laboratory of Bacteriology),0.31968295904887717
Molecular Genetics Section (Laboratory of Bacteriology),Malaria Infection Biology and Immunity Unit,0.31958762886597936
Retroviral Immunology Section,Emerging Virus Immunity Unit,0.31958762886597936
