section_a,section_b,journal_similarity
Malaria Cell Biology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.15724815724815724
TSE/Prion Molecular Biology Section,RML Genomics Unit,0.15702479338842976
Clinical Research Section,Clinical Pathophysiology Section,0.1569767441860465
Viral Pathogenesis Section (Laboratory of Immunoregulation),B-Cell Immunology Section,0.1569767441860465
Structural Immunology Section,B-Cell Molecular Immunology Section,0.1568627450980392
TSE/Prion Molecular Biology Section,Mosquito Immunity and Vector Competence Section,0.1568627450980392
Viral Immunology Section,TSE/Prion and Retroviral Pathogenesis Section,0.1568627450980392
Systems Genomics Section,Immunobiology and Molecular Virology Unit,0.15677966101694915
Virus Ecology Section,RML Microscopy Unit,0.15675675675675677
Pathogen-Host Cell Biology Section,Clinical Research Section,0.1566265060240964
Inflammation & Innate Immunity Unit,HIV Immunovirology Section,0.1565217391304348
RML Genomics Unit,Caliciviruses Section,0.1564625850340136
Viral Pathogenesis Section (Laboratory of Immunoregulation),HIV-Specific Immunity Section,0.1564245810055866
Infectious Disease Pathogenesis Section,Building NIHAC/103,0.15625
Inflammation & Innate Immunity Unit,Immunity to Pulmonary Pathogens Section,0.15625
Viral Pathogenesis Section (Laboratory of Immunoregulation),Caliciviruses Section,0.15625
Barrier Immunity Section,Autoimmunity and Functional Genomics Section,0.15606936416184972
HIV-Specific Immunity Section,Clinical and Molecular Retrovirology Section,0.15584415584415584
Structural Virology Section,Signaling Systems Section,0.15584415584415584
Immunobiology Section,HIV Immunovirology Section,0.1556420233463035
HIV-Specific Immunity Section,Cellular Immunology Section,0.15555555555555556
Malaria Infection Biology and Immunity Unit,Immunobiology Section,0.15555555555555556
Molecular and Cellular Immunoregulation Section,HIV-Specific Immunity Section,0.15555555555555556
Viral Biology Section,Biology of Vector-Borne Viruses Section,0.15555555555555556
Malaria Immunology Section,Immunity to Pulmonary Pathogens Section,0.1553398058252427
T-Lymphocyte Biology Section,Immune Activation Section,0.1553398058252427
T-Lymphocyte Biology Section,Molecular Signaling Section,0.1553398058252427
Pathogen-Host Cell Biology Section,Clinical and Molecular Retrovirology Section,0.1552346570397112
Mucosal Immunobiology Section,Clinical Pathophysiology Section,0.15517241379310345
RML Flow Cytometry Unit,B-Cell Immunology Section,0.15517241379310345
Translational Immunobiology Unit,TSE/Prion and Retroviral Pathogenesis Section,0.15517241379310345
Mast Cell Biology Section,Cellular Immunology Section,0.15513626834381553
Malaria Cell Biology Section,Host-Parasite Interactions Section,0.155
Structural Biology Section,Signaling Systems Section,0.15492957746478872
Structural Virology Section,Flow Cytometry Section,0.15492957746478872
T-Lymphocyte Biology Section,Infectious Disease Pathogenesis Section,0.15492957746478872
Viral Epidemiology and Immunity Unit,T-Lymphocyte Biology Section,0.15492957746478872
Viral Immunology Section,DNA Tumor Virus Section,0.15492957746478872
Viral Pathogenesis Section (Laboratory of Immunoregulation),Nonhuman Primate Virology Section,0.15492957746478872
Viral Pathogenesis and Evolution Section,Viral Biology Section,0.15492957746478872
Molecular Development of the Immune System Section,Emerging Respiratory Viruses Section,0.1548223350253807
Molecular Development of the Immune System Section,Medical Virology Section,0.1548223350253807
RML Flow Cytometry Unit,Genomic Technologies Section,0.15463917525773196
TSE/Prion and Retroviral Pathogenesis Section,Barrier Immunity Section,0.15463917525773196
T-Lymphocyte Biology Section,Plague Section,0.15454545454545454
Type 2 Immunity Section,Plague Section,0.15454545454545454
RML Flow Cytometry Unit,HIV-Specific Immunity Section,0.15447154471544716
T-Cell Tolerance and Memory Section,Molecular and Cellular Immunoregulation Section,0.15447154471544716
TSE/Prion Molecular Biology Section,Caliciviruses Section,0.15447154471544716
Virus Ecology Section,Innate Immunity and Pathogenesis Section,0.15432098765432098
Immunopathogenesis Section (Laboratory of Immunoregulation),Cell Signaling and Immunity Section,0.15425531914893617
Metaorganism Immunity Section,HIV Immunovirology Section,0.15418502202643172
Innate Immunity and Pathogenesis Section,HIV-Specific Immunity Section,0.15384615384615385
Malaria Infection Biology and Immunity Unit,Chlamydial Diseases Section,0.15384615384615385
Molecular and Cellular Immunology Section,HIV Immunovirology Section,0.15384615384615385
Mosquito Immunity and Vector Competence Section,Malaria Immunology Section,0.15384615384615385
RML Flow Cytometry Unit,Flow Cytometry Section,0.15384615384615385
RNA Viruses Section,Malaria Infection Biology and Immunity Unit,0.15384615384615385
Salmonella-Host Cell Interactions Section,RML Genomics Unit,0.15384615384615385
T-Cell Tolerance and Memory Section,Mucosal Immunity Section,0.15384615384615385
RNA Viruses Section,Genetic Engineering Section,0.15339233038348082
Pathogen-Host Cell Biology Section,Helminth Immunology Section,0.15317286652078774
Retroviral Immunology Section,Biology of Vector-Borne Viruses Section,0.15315315315315314
Translational Immunobiology Unit,Cellular Biology Section,0.15315315315315314
Systems Genomics Section,Cellular Biology Section,0.153125
Viral Pathogenesis and Vaccine Section,Molecular and Cellular Immunology Section,0.15306122448979592
Innate Immunity and Pathogenesis Section,Flow Cytometry Section,0.15294117647058825
Molecular Pathogenesis and Biomarkers Section,Emerging Respiratory Viruses Section,0.15294117647058825
Molecular Pathogenesis and Biomarkers Section,Medical Virology Section,0.15294117647058825
Structural Virology Section,Innate Immunity and Pathogenesis Section,0.15294117647058825
Viral Biochemistry Section,Emerging Respiratory Viruses Section,0.1529051987767584
Viral Biochemistry Section,Medical Virology Section,0.1529051987767584
Twinbrook Imaging Facility,RML Flow Cytometry Unit,0.1527777777777778
Viral Biology Section,Infectious Disease Pathogenesis Section,0.1527777777777778
Vector Molecular Biology Section,Immunobiology Section,0.15274463007159905
Immune Deficiency Genetics Section,Cell Signaling and Immunity Section,0.15254237288135594
Infectious Disease Pathogenesis Section,Antibacterial Host Defense Unit,0.15254237288135594
Pathology Core,Genomic Technologies Section,0.15254237288135594
Structural Biology Section,RML Flow Cytometry Unit,0.15254237288135594
TSE/Prion Biochemistry Section,Molecular Microbiology Section,0.15254237288135594
Cellular Immunology Section,B-Cell Molecular Immunology Section,0.15246636771300448
Lymphocyte Biology Section,HIV Immunovirology Section,0.15246636771300448
Molecular Pathogenesis Unit,Malaria Infection Biology and Immunity Unit,0.1523809523809524
Pathogen Molecular Genetics Section,Molecular Genetics Section (Laboratory of Bacteriology),0.1520912547528517
RML Genomics Unit,Coxiella Pathogenesis Section,0.1518987341772152
Viral Pathogenesis and Vaccine Section,Lymphocyte Biology Section,0.1518987341772152
Molecular and Cellular Immunology Section,Lymphocyte Activation Section,0.15184381778741865
Innate Immunity and Pathogenesis Section,Barrier Immunity Section,0.15168539325842698
Molecular and Cellular Immunoregulation Section,B-Cell Molecular Immunology Section,0.15168539325842698
Retroviral Immunology Section,Cell Signaling and Immunity Section,0.15168539325842698
Inflammation & Innate Immunity Unit,Computational Biology Unit,0.15151515151515152
Malaria Infection Biology and Immunity Unit,Apicomplexan Molecular Physiology Section,0.15151515151515152
Signaling Systems Section,Molecular Biology Section,0.15151515151515152
Mucosal Immunobiology Section,Immunity to Pulmonary Pathogens Section,0.15126050420168066
Pathogen-Host Cell Biology Section,Molecular and Cellular Immunology Section,0.15126050420168066
TSE/Prion and Retroviral Pathogenesis Section,Molecular Pathogenesis Unit,0.15126050420168066
Plague Section,Microbial Pathogenesis Section,0.15123456790123457
Viral Immunity and Pathogenesis Unit,Molecular Genetics Section (Laboratory of Viral Diseases),0.1511627906976744
Lung and Vascular Inflammation Section,Immune Activation Section,0.1510791366906475
Molecular Signaling Section,Lung and Vascular Inflammation Section,0.1510791366906475
Molecular and Cellular Immunology Section,HIV-Specific Immunity Section,0.15104166666666666
Infectious Disease Pathogenesis Section,HIV Immunovirology Section,0.1509433962264151
Malaria Infection Biology and Immunity Unit,Cell Signaling and Immunity Section,0.1509433962264151
TSE/Prion and Retroviral Pathogenesis Section,Biology of Vector-Borne Viruses Section,0.1509433962264151
Viral Pathogenesis Section (Laboratory of Immunoregulation),RML Microscopy Unit,0.1509433962264151
Virus Ecology Section,Viral Pathogenesis Section (Laboratory of Immunoregulation),0.1507537688442211
Structural Biology Section,Molecular Entomology Unit,0.1506849315068493
Immunobiology Section,Immunity to Pulmonary Pathogens Section,0.1506276150627615
HIV Immunovirology Section,Emerging Virus Immunity Unit,0.15060240963855423
Molecular Microbiology Section,Chlamydial Diseases Section,0.15060240963855423
Molecular and Cellular Immunology Section,Mast Cell Biology Section,0.15056179775280898
TSE/Prion Molecular Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.15053763440860216
Viral Pathogenesis Section (Laboratory of Immunoregulation),Molecular Development of the Immune System Section,0.1504424778761062
Viral Pathogenesis and Evolution Section,TSE/Prion Biochemistry Section,0.15034965034965034
Viral Immunology Section,RNA Viruses Section,0.1503267973856209
Vector Molecular Biology Section,Pathogen-Host Cell Biology Section,0.15025906735751296
Salmonella-Host Cell Interactions Section,Pathogen Molecular Genetics Section,0.15021459227467812
Genetic Immunotherapy Section,Clinical and Molecular Retrovirology Section,0.15
Immune Activation Section,Clinical Pathophysiology Section,0.15
Molecular Signaling Section,Clinical Pathophysiology Section,0.15
RML Genomics Unit,B-Cell Immunology Section,0.15
RML Microscopy Unit,B-Cell Immunology Section,0.15
Signaling Systems Section,Molecular and Cellular Immunology Section,0.15
Structural Virology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.15
Pathogen Molecular Genetics Section,Helminth Immunology Section,0.14990138067061143
Vector Molecular Biology Section,Intracellular Parasite Biology Section,0.14989733059548255
Viral Biochemistry Section,Genetic Engineering Section,0.14985590778097982
Viral Pathogenesis and Vaccine Section,Systems Genomics Section,0.14979757085020243
Viral Immunology Section,Malaria Cell Biology Section,0.14977973568281938
Vector Biology Section,Malaria Genetics Section,0.1497326203208556
RML Genomics Unit,HIV-Specific Immunity Section,0.1497005988023952
Lyme Disease Studies Unit,Infectious Disease Fellowship Training Program,0.14965986394557823
Immunity to Pulmonary Pathogens Section,Host-Parasite Interactions Section,0.14960629921259844
Pathogen-Host Cell Biology Section,Intracellular Parasite Biology Section,0.14960629921259844
Pathogen-Host Cell Biology Section,Mosquito Immunity and Vector Competence Section,0.14948453608247422
T-Cell Tolerance and Memory Section,Pathology Core,0.14942528735632185
Type 2 Immunity Section,Antibacterial Host Defense Unit,0.14942528735632185
Vector Molecular Biology Section,Pathogen Molecular Genetics Section,0.14942528735632185
RML Flow Cytometry Unit,Antibacterial Host Defense Unit,0.14925373134328357
RML Genomics Unit,Plague Section,0.14925373134328357
Systems Genomics Section,Neuroimmunology Unit,0.14925373134328357
Vector Biology Section,Malaria Cell Biology Section,0.14917127071823205
Viral Immunology Section,Viral Budding Unit,0.14912280701754385
Vector Molecular Biology Section,Microbial Pathogenesis Section,0.14901960784313725
T-Lymphocyte Biology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.14893617021276595
Viral Immunology Section,Intracellular Parasite Biology Section,0.14893617021276595
Retroviral Immunology Section,Metaorganism Immunity Section,0.14883720930232558
Microbial Pathogenesis Section,Chlamydial Diseases Section,0.14873417721518986
Type 2 Immunity Section,Molecular and Cellular Immunology Section,0.14864864864864866
Viral Immunity and Pathogenesis Unit,Biological Imaging,0.14864864864864866
Plague Section,Molecular Microbiology Section,0.14857142857142858
Disease Modeling and Transmission Section,Barrier Immunity Section,0.14855875831485588
Microbial Pathogenesis Section,Intracellular Parasite Biology Section,0.1485148514851485
Immune Activation Section,Fungal Pathogenesis Section,0.1484375
Molecular Signaling Section,Fungal Pathogenesis Section,0.1484375
Pathogenesis and Immunity Section,Immunobiology and Molecular Virology Unit,0.14840989399293286
Vaccine Development Unit,Immunobiology and Molecular Virology Unit,0.14840989399293286
Microbial Pathogenesis Section,Immunobiology Section,0.14840182648401826
Molecular Microbiology Section,Genomic Technologies Section,0.14835164835164835
Retroviral Immunology Section,Clinical Research Section,0.14835164835164835
Molecular Parasitology Section,Malaria Genetics Section,0.1483050847457627
Vector Molecular Biology Section,Malaria Genetics Section,0.14824120603015076
Lymphocyte Biology Section,Immune Activation Section,0.14814814814814814
Molecular Pathogenesis Unit,DNA Tumor Virus Section,0.14814814814814814
Molecular Signaling Section,Lymphocyte Biology Section,0.14814814814814814
Molecular and Cellular Immunoregulation Section,Barrier Immunity Section,0.14814814814814814
RML Genomics Unit,Host-Parasite Interactions Section,0.14814814814814814
T-Lymphocyte Biology Section,Malaria Cell Biology Section,0.14814814814814814
Viral Budding Unit,Molecular Genetics Section (Laboratory of Viral Diseases),0.14814814814814814
Viral Pathogenesis and Evolution Section,Neuroimmunology Unit,0.14814814814814814
Systems Genomics Section,Nonhuman Primate Virology Section,0.148014440433213
International HIV/STD Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.148005148005148
Viral Pathogenesis and Evolution Section,Viral Pathogenesis Section (Laboratory of Immunoregulation),0.148
Malaria Infection Biology and Immunity Unit,Clinical Pathophysiology Section,0.14782608695652175
Molecular Entomology Unit,Host-Pathogen Interactions and Structural Vaccinology Section,0.14772727272727273
Viral Immunology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.14763231197771587
HIV Immunovirology Section,Antibacterial Host Defense Unit,0.14754098360655737
Pathogen Molecular Genetics Section,Immunobiology and Molecular Virology Unit,0.1474820143884892
Pathogen-Host Cell Biology Section,HIV Pathogenesis Section,0.1474820143884892
Viral Pathogenesis Section (Laboratory of Viral Diseases),Viral Immunity and Pathogenesis Unit,0.14743589743589744
Pathology Core,Lymphocyte Biology Section,0.14736842105263157
Tuberculosis Research Section,HIV Immunovirology Section,0.14736842105263157
Molecular Parasitology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.14728682170542637
Viral Immunology Section,Caliciviruses Section,0.147239263803681
RNA Viruses Section,Cellular Biology Section,0.14705882352941177
Twinbrook Imaging Facility,Molecular Defenses Section,0.14705882352941177
Viral Biochemistry Section,Structural Biology Section,0.14705882352941177
Molecular Development of the Immune System Section,Clinical and Molecular Retrovirology Section,0.14695340501792115
Structural Virology Section,RML Genomics Unit,0.14678899082568808
Type 2 Immunity Section,Inflammation Biology Section,0.14678899082568808
Viral Pathogenesis and Evolution Section,Barrier Immunity Section,0.14675767918088736
Viral Epidemiology and Immunity Unit,Molecular Pathogenesis Unit,0.14666666666666667
Intracellular Parasite Biology Section,Immunity to Pulmonary Pathogens Section,0.1465798045602606
Inflammation Biology Section,Cellular Biology Section,0.14655172413793102
Mosquito Immunity and Vector Competence Section,Host-Parasite Interactions Section,0.14655172413793102
TSE/Prion and Retroviral Pathogenesis Section,Innate Immunity and Pathogenesis Section,0.14655172413793102
Viral Immunology Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.14655172413793102
Type 2 Immunity Section,Cell Signaling and Immunity Section,0.1464968152866242
Viral Pathogenesis and Vaccine Section,Emerging Respiratory Viruses Section,0.14647887323943662
Viral Pathogenesis and Vaccine Section,Medical Virology Section,0.14647887323943662
Molecular Biology Section,Immunity to Pulmonary Pathogens Section,0.14634146341463414
RML Flow Cytometry Unit,Neuroimmunology Unit,0.14634146341463414
Molecular Pathogenesis Unit,Disease Modeling and Transmission Section,0.14627659574468085
Retroviral Immunology Section,Pathogen-Host Cell Biology Section,0.14622641509433962
Lymphocyte Biology Section,Inflammation & Innate Immunity Unit,0.14619883040935672
Virus Ecology Section,Pathogenesis and Immunity Section,0.1461038961038961
Virus Ecology Section,Vaccine Development Unit,0.1461038961038961
Viral Budding Unit,Infectious Disease Pathogenesis Section,0.14583333333333334
Inflammation Biology Section,B-Cell Molecular Immunology Section,0.1456953642384106
Pathology Core,Neuroimmunology Unit,0.14563106796116504
Structural Biology Section,RML Microscopy Unit,0.14563106796116504
RML Genomics Unit,Molecular Parasitology Section,0.14556962025316456
Molecular Microbiology Section,Fungal Pathogenesis Section,0.14553990610328638
Mucosal Immunity Section,Inflammation & Innate Immunity Unit,0.14545454545454545
Pathogen Molecular Genetics Section,Molecular Pathogenesis and Biomarkers Section,0.14545454545454545
Pathology Core,Inflammation Biology Section,0.14545454545454545
Salmonella-Host Cell Interactions Section,Immunity to Pulmonary Pathogens Section,0.14545454545454545
Immunobiology and Molecular Virology Unit,HIV Pathogenesis Section,0.14537444933920704
Inflammation Biology Section,Immunobiology Section,0.1452991452991453
International HIV/STD Section,Emerging Respiratory Viruses Section,0.14528795811518325
Medical Virology Section,International HIV/STD Section,0.14528795811518325
Viral Pathogenesis and Evolution Section,Clinical and Molecular Retrovirology Section,0.14521452145214522
Infectious Disease Pathogenesis Section,Biology of Vector-Borne Viruses Section,0.14516129032258066
Viral Budding Unit,Flow Cytometry Section,0.14516129032258066
International HIV/STD Section,Helminth Immunology Section,0.14510278113663846
Molecular Microbiology Section,Malaria Functional Genomics Section,0.1450980392156863
Mucosal Immunity Section,Inflammation Biology Section,0.14507772020725387
Viral Pathogenesis Section (Laboratory of Immunoregulation),Host-Pathogen Interactions and Structural Vaccinology Section,0.1450381679389313
Viral Biology Section,Systems Genomics Section,0.145
Infectious Disease Fellowship Training Program,HIV Pathogenesis Section,0.14479638009049775
Pathogenesis and Immunity Section,Disease Modeling and Transmission Section,0.14478764478764478
Vaccine Development Unit,Disease Modeling and Transmission Section,0.14478764478764478
Mucosal Immunity Section,HIV-Specific Immunity Section,0.14473684210526316
Viral Pathogenesis Section (Laboratory of Immunoregulation),RNA Viruses Section,0.14473684210526316
TSE/Prion Biochemistry Section,Structural Virology Section,0.14465408805031446
Host-Pathogen Interactions and Structural Vaccinology Section,Autoimmunity and Functional Genomics Section,0.14444444444444443
Lymphocyte Activation Section,Immunobiology Section,0.14444444444444443
Salmonella-Host Cell Interactions Section,Chlamydial Diseases Section,0.14432989690721648
Genomic Technologies Section,Flow Cytometry Section,0.14423076923076922
Pathogen Molecular Genetics Section,Barrier Immunity Section,0.14420062695924765
Pathogenesis and Immunity Section,HIV Pathogenesis Section,0.14414414414414414
Vaccine Development Unit,HIV Pathogenesis Section,0.14414414414414414
RML Microscopy Unit,Host-Pathogen Interactions and Structural Vaccinology Section,0.1440677966101695
Viral Immunology Section,Structural Biology Section,0.1440677966101695
Structural Virology Section,Immunobiology and Molecular Virology Unit,0.144
Retroviral Immunology Section,Molecular HIV Host Interactions Section,0.14393939393939395
RML Microscopy Unit,Immunity to Pulmonary Pathogens Section,0.14388489208633093
RNA Viruses Section,RML Genomics Unit,0.14388489208633093
Mucosal Immunobiology Section,B-Cell Molecular Immunology Section,0.14383561643835616
Viral Biochemistry Section,RML Genomics Unit,0.14383561643835616
HIV Immunovirology Section,Genomic Technologies Section,0.1437908496732026
Genomic Technologies Section,Fungal Pathogenesis Section,0.1437125748502994
Tuberculosis Research Section,Malaria Cell Biology Section,0.1436950146627566
Translational Immunobiology Unit,TSE/Prion Biochemistry Section,0.14367816091954022
Malaria Functional Genomics Section,Apicomplexan Molecular Physiology Section,0.14361702127659576
Viral Pathogenesis and Evolution Section,LID Clinical Studies Unit,0.14358974358974358
Systems Genomics Section,RML Microscopy Unit,0.14349775784753363
Type 2 Immunity Section,Cellular Biology Section,0.14349775784753363
Vector Biology Section,Helminth Immunology Section,0.14338235294117646
Pathogen Molecular Genetics Section,Cellular Biology Section,0.14325068870523416
Building 33,Bacterial Physiology and Metabolism Unit,0.14285714285714285
Human Immunological Diseases Section,Genetic Immunotherapy Section,0.14285714285714285
Inflammation & Innate Immunity Unit,Barrier Immunity Section,0.14285714285714285
Intracellular Parasite Biology Section,Cell Signaling and Immunity Section,0.14285714285714285
Malaria Infection Biology and Immunity Unit,Barrier Immunity Section,0.14285714285714285
Malaria Infection Biology and Immunity Unit,Inflammation Biology Section,0.14285714285714285
Molecular Development of the Immune System Section,Mast Cell Biology Section,0.14285714285714285
Molecular Pathogenesis Unit,LID Clinical Studies Unit,0.14285714285714285
Molecular Pathogenesis and Biomarkers Section,Immunobiology and Molecular Virology Unit,0.14285714285714285
Molecular and Cellular Immunoregulation Section,Malaria Infection Biology and Immunity Unit,0.14285714285714285
Mosquito Immunity and Vector Competence Section,Molecular Pathogenesis and Biomarkers Section,0.14285714285714285
Mucosal Immunity Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.14285714285714285
Neuroimmunology Unit,Autoimmunity and Functional Genomics Section,0.14285714285714285
Neuroimmunology Unit,Malaria Infection Biology and Immunity Unit,0.14285714285714285
Pathogenesis and Immunity Section,Pathogen-Host Cell Biology Section,0.14285714285714285
RML Microscopy Unit,Autoimmunity and Functional Genomics Section,0.14285714285714285
Structural Immunology Section,Integrative Immunobiology Section,0.14285714285714285
Vaccine Development Unit,Pathogen-Host Cell Biology Section,0.14285714285714285
Virus Ecology Section,Biology of Vector-Borne Viruses Section,0.14285714285714285
Virus Ecology Section,HIV Pathogenesis Section,0.14285714285714285
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Helminth Immunology Section,0.14267676767676768
Viral Pathogenesis and Evolution Section,Viral Immunology Section,0.1422924901185771
Type 2 Immunity Section,Immunobiology Section,0.14222222222222222
Molecular Defenses Section,Immune Activation Section,0.14220183486238533
Molecular Signaling Section,Molecular Defenses Section,0.14220183486238533
International HIV/STD Section,HIV Pathogenesis Section,0.14219474497681608
Intracellular Parasite Biology Section,Immune Activation Section,0.14214463840399003
Molecular Signaling Section,Intracellular Parasite Biology Section,0.14214463840399003
Metaorganism Immunity Section,Malaria Infection Biology and Immunity Unit,0.14213197969543148
Human Eosinophil Section,Clinical Pathophysiology Section,0.14210526315789473
Type 2 Immunity Section,Malaria Cell Biology Section,0.14210526315789473
Pathogen Molecular Genetics Section,Malaria Functional Genomics Section,0.1419939577039275
Molecular Pathogenesis Unit,B-Cell Immunology Section,0.14184397163120568
Signaling Systems Section,B-Cell Molecular Immunology Section,0.1417910447761194
Molecular and Cellular Immunology Section,Integrative Immunobiology Section,0.14173228346456693
Virus Ecology Section,Malaria Cell Biology Section,0.14173228346456693
Mosquito Immunity and Vector Competence Section,Immunity to Pulmonary Pathogens Section,0.14166666666666666
TSE/Prion and Retroviral Pathogenesis Section,Cellular Biology Section,0.14166666666666666
Helminth Immunology Section,HIV Pathogenesis Section,0.14161220043572983
Neuroimmunology Unit,Molecular HIV Host Interactions Section,0.1415929203539823
Viral Biochemistry Section,Biology of Vector-Borne Viruses Section,0.1415929203539823
Viral Pathogenesis Section (Laboratory of Immunoregulation),Clinical and Molecular Retrovirology Section,0.1415929203539823
Microbial Pathogenesis Section,Immune Activation Section,0.14150943396226415
Molecular Signaling Section,Microbial Pathogenesis Section,0.14150943396226415
Molecular Development of the Immune System Section,Genetic Immunotherapy Section,0.14144736842105263
Virus Ecology Section,Pathogen Molecular Genetics Section,0.14144736842105263
Lymphocyte Biology Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.1414141414141414
Vector Molecular Biology Section,Malaria Functional Genomics Section,0.14138817480719795
Malaria Infection Biology and Immunity Unit,HIV Pathogenesis Section,0.14136125654450263
Gene Regulation Section,Chlamydial Diseases Section,0.14130434782608695
RML Flow Cytometry Unit,Host-Parasite Interactions Section,0.14130434782608695
Salmonella-Host Cell Interactions Section,Apicomplexan Molecular Physiology Section,0.14130434782608695
T-Cell Tolerance and Memory Section,Lymphocyte Biology Section,0.14124293785310735
Molecular Microbiology Section,Malaria Cell Biology Section,0.1411764705882353
Pathogen-Host Cell Biology Section,Molecular Pathogenesis and Biomarkers Section,0.14096916299559473
Immune Activation Section,Clinical and Molecular Retrovirology Section,0.14093959731543623
Molecular Signaling Section,Clinical and Molecular Retrovirology Section,0.14093959731543623
Malaria Infection Biology and Immunity Unit,Immunobiology and Molecular Virology Unit,0.14084507042253522
RML Genomics Unit,Clinical and Molecular Retrovirology Section,0.14084507042253522
RML Genomics Unit,Genomic Technologies Section,0.14084507042253522
Viral Pathogenesis Section (Laboratory of Immunoregulation),DNA Tumor Virus Section,0.14084507042253522
Twinbrook Imaging Facility,B-Cell Molecular Immunology Section,0.14074074074074075
Viral Pathogenesis and Vaccine Section,Structural Virology Section,0.14074074074074075
TSE/Prion Biochemistry Section,Caliciviruses Section,0.1407035175879397
TSE/Prion Molecular Biology Section,Systems Genomics Section,0.1407035175879397
Molecular Development of the Immune System Section,Intracellular Parasite Biology Section,0.140625
Pathogen Molecular Genetics Section,Immunity to Pulmonary Pathogens Section,0.140625
Pathology Core,Molecular Development of the Immune System Section,0.140625
Structural Virology Section,Molecular Genetics Section (Laboratory of Viral Diseases),0.140625
RML Genomics Unit,Clinical Research Section,0.14054054054054055
Genomic Technologies Section,Autoimmunity and Functional Genomics Section,0.14035087719298245
Malaria Immunology Section,HIV Immunovirology Section,0.14035087719298245
Pathogen-Host Cell Biology Section,Emerging Respiratory Viruses Section,0.14035087719298245
Pathogen-Host Cell Biology Section,Medical Virology Section,0.14035087719298245
Pathogenesis and Immunity Section,Clinical and Molecular Retrovirology Section,0.14029850746268657
Vaccine Development Unit,Clinical and Molecular Retrovirology Section,0.14029850746268657
Mucosal Immunobiology Section,Malaria Infection Biology and Immunity Unit,0.14018691588785046
Immunobiology Section,HIV Pathogenesis Section,0.14012738853503184
TSE/Prion Biochemistry Section,Pathogen Molecular Genetics Section,0.14012738853503184
Vector Molecular Biology Section,Immunity to Pulmonary Pathogens Section,0.14012738853503184
Inflammation & Innate Immunity Unit,Genomic Technologies Section,0.14
Primary Immune Deficiency Clinic,Molecular Development of the Immune System Section,0.14
T-Lymphocyte Biology Section,Innate Immunity and Pathogenesis Section,0.14
Viral Budding Unit,TSE/Prion Biochemistry Section,0.14
Viral Immunology Section,Clinical Research Section,0.14
Molecular HIV Host Interactions Section,Emerging Virus Immunity Unit,0.13986013986013987
Scientist Emerita,Molecular Biology Section,0.13978494623655913
TSE/Prion Molecular Biology Section,Molecular Entomology Unit,0.13978494623655913
Viral Pathogenesis and Vaccine Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.13978494623655913
T-Lymphocyte Biology Section,Molecular Pathogenesis and Biomarkers Section,0.13970588235294118
Structural Informatics Unit,Infectious Disease Pathogenesis Section,0.13953488372093023
Inflammation & Innate Immunity Unit,Cellular Immunology Section,0.1393939393939394
Viral Immunology Section,Genetic Engineering Section,0.13934426229508196
Molecular Microbiology Section,Coxiella Pathogenesis Section,0.13930348258706468
Tuberculosis Research Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.1392757660167131
Immunity to Pulmonary Pathogens Section,B-Cell Molecular Immunology Section,0.13924050632911392
Structural Immunology Section,Cellular Biology Section,0.13924050632911392
TSE/Prion Molecular Biology Section,RML Flow Cytometry Unit,0.13924050632911392
Translational Immunobiology Unit,Molecular Genetics Section (Laboratory of Viral Diseases),0.13924050632911392
Microbial Pathogenesis Section,Coxiella Pathogenesis Section,0.13920454545454544
Pathogen-Host Cell Biology Section,Malaria Infection Biology and Immunity Unit,0.13917525773195877
Viral Pathogenesis Section (Laboratory of Immunoregulation),Molecular Genetics Section (Laboratory of Viral Diseases),0.1391304347826087
HIV-Specific Immunity Section,B-Cell Molecular Immunology Section,0.13903743315508021
Pathogen-Host Cell Biology Section,Autoimmunity and Functional Genomics Section,0.13903743315508021
Lymphocyte Activation Section,Cell Signaling and Immunity Section,0.13894736842105262
B-Cell Molecular Immunology Section,B-Cell Immunology Section,0.1388888888888889
Retroviral Immunology Section,Flow Cytometry Section,0.1388888888888889
Type 2 Immunity Section,Barrier Immunity Section,0.1388888888888889
Type 2 Immunity Section,Infectious Disease Pathogenesis Section,0.1388888888888889
Viral Epidemiology and Immunity Unit,Molecular Pathogenesis and Biomarkers Section,0.1388888888888889
Pathogenesis and Immunity Section,HIV Immunovirology Section,0.1387900355871886
Vaccine Development Unit,HIV Immunovirology Section,0.1387900355871886
HIV Pathogenesis Section,Fungal Pathogenesis Section,0.13865546218487396
Type 2 Immunity Section,Pathology Core,0.13861386138613863
Metaorganism Immunity Section,Immune Deficiency Genetics Section,0.13846153846153847
