section_a,section_b,project_cat_similarity
Viral Pathogenesis Section (Laboratory of Viral Diseases),Biology of Vector-Borne Viruses Section,0.3076923076923077
TSE/Prion and Retroviral Pathogenesis Section,Molecular and Cellular Immunology Section,0.30666666666666664
Malaria Immunology Section,Epidemiology and Population Studies Unit,0.30612244897959184
Viral Pathogenesis and Vaccine Section,Plague Section,0.30612244897959184
Salmonella-Host Cell Interactions Section,Chemotaxis Signal Section,0.3055555555555556
TSE/Prion and Retroviral Pathogenesis Section,Genetic Engineering Section,0.3055555555555556
Tuberculosis Research Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.3055555555555556
Viral Pathogenesis Section (Laboratory of Viral Diseases),Malaria Genetics Section,0.3055555555555556
Virus Ecology Section,Plague Section,0.3055555555555556
Retroviral Immunology Section,Immunity to Pulmonary Pathogens Section,0.3050847457627119
T-Cell Tolerance and Memory Section,Mucosal Immunobiology Section,0.3050847457627119
Molecular Parasitology Section,Clinical Pathophysiology Section,0.3048780487804878
TSE/Prion and Retroviral Pathogenesis Section,Neuroimmunology Unit,0.3048780487804878
Viral Pathogenesis and Vaccine Section,Molecular Parasitology Section,0.3048780487804878
Inflammation & Innate Immunity Unit,Biology of Vector-Borne Viruses Section,0.30434782608695654
Malaria Infection Biology and Immunity Unit,Biology of Vector-Borne Viruses Section,0.30434782608695654
Molecular and Cellular Immunoregulation Section,Host-Parasite Interactions Section,0.30434782608695654
Mosquito Immunity and Vector Competence Section,Malaria Infection Biology and Immunity Unit,0.30434782608695654
Multiscale Systems Biology Section,Innate Immunity and Pathogenesis Section,0.30434782608695654
TSE/Prion and Retroviral Pathogenesis Section,Immunobiology Section,0.30434782608695654
Viral Pathogenesis and Vaccine Section,Coxiella Pathogenesis Section,0.30434782608695654
Viral Pathogenesis and Evolution Section,Tuberculosis Research Section,0.30412371134020616
Helminth Immunology Section,Genetic Immunotherapy Section,0.30405405405405406
Molecular Parasitology Section,Coxiella Pathogenesis Section,0.3037974683544304
TSE/Prion Biochemistry Section,Neuroimmunology Unit,0.3037974683544304
Mucosal Immunobiology Section,Molecular and Cellular Immunology Section,0.30357142857142855
Malaria Infection Biology and Immunity Unit,Malaria Immunology Section,0.30303030303030304
Multiscale Systems Biology Section,Inflammation Biology Section,0.30303030303030304
Viral Immunology Section,Pathogen-Host Cell Biology Section,0.30303030303030304
Helminth Immunology Section,HIV-Specific Immunity Section,0.30275229357798167
TSE/Prion Molecular Biology Section,Salmonella-Host Cell Interactions Section,0.3026315789473684
Systems Genomics Section,Signaling Systems Section,0.3023255813953488
Viral Pathogenesis Section (Laboratory of Viral Diseases),TSE/Prion and Retroviral Pathogenesis Section,0.3020833333333333
Lymphocyte Activation Section,Helminth Immunology Section,0.30201342281879195
Lung and Vascular Inflammation Section,Inflammation Biology Section,0.3018867924528302
Molecular Defenses Section,Clinical Pathophysiology Section,0.3018867924528302
Pathogen-Host Cell Biology Section,Molecular Biology Section,0.3018867924528302
Clinical and Molecular Retrovirology Section,B-Cell Immunology Section,0.30158730158730157
Pathogen Molecular Genetics Section,Cellular Immunology Section,0.30158730158730157
Molecular Pathology Section,HIV-Specific Immunity Section,0.3013698630136986
Retroviral Immunology Section,Immunobiology Section,0.3013698630136986
International HIV/STD Section,Clinical Research Section,0.30128205128205127
Mast Cell Biology Section,Genetic Immunotherapy Section,0.30113636363636365
Molecular Biology Section,Microbial Pathogenesis Section,0.30097087378640774
Chemotaxis Signal Section,Antibacterial Host Defense Unit,0.3
HIV Immunovirology Section,Epithelial Therapeutics Unit,0.3
HIV Pathogenesis Section,Fungal Pathogenesis Section,0.3
Host-Pathogen Interactions and Structural Vaccinology Section,Chlamydial Diseases Section,0.3
Inflammation & Innate Immunity Unit,Human Eosinophil Section,0.3
Metaorganism Immunity Section,B-Cell Immunology Section,0.3
Molecular Development of the Immune System Section,Emerging Respiratory Viruses Section,0.3
Molecular Development of the Immune System Section,Medical Virology Section,0.3
Molecular Parasitology Section,Chlamydial Diseases Section,0.3
Molecular Parasitology Section,Immunity to Pulmonary Pathogens Section,0.3
Molecular Pathology Section,Chlamydial Diseases Section,0.3
Multiscale Systems Biology Section,Hepatic Pathogenesis Section,0.3
Plague Section,Malaria Immunology Section,0.3
Plague Section,Mosquito Immunity and Vector Competence Section,0.3
Plague Section,Nonhuman Primate Virology Section,0.3
Scientist Emerita,Molecular Genetics Section (Laboratory of Bacteriology),0.3
Structural Virology Section,Cell Signaling and Immunity Section,0.3
Translational Mycology Section,Chemotaxis Signal Section,0.3
Translational Mycology Section,Epidemiology and Population Studies Unit,0.3
Translational Mycology Section,Functional Cellular Networks Section,0.3
Viral Biochemistry Section,Fungal Pathogenesis Section,0.3
Viral Pathogenesis Section (Laboratory of Immunoregulation),Host-Pathogen Interactions and Structural Vaccinology Section,0.3
Viral Pathogenesis Section (Laboratory of Immunoregulation),Malaria Infection Biology and Immunity Unit,0.3
Viral Pathogenesis Section (Laboratory of Immunoregulation),Viral Biology Section,0.3
Viral Pathogenesis and Vaccine Section,Gene Regulation Section,0.3
Virus Ecology Section,LID Clinical Studies Unit,0.3
Virus Ecology Section,Structural Informatics Unit,0.3
Plague Section,Genetic Engineering Section,0.2988505747126437
Molecular Pathogenesis and Biomarkers Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.2982456140350877
Pathogen-Host Cell Biology Section,Immunity to Pulmonary Pathogens Section,0.2982456140350877
Malaria Genetics Section,Malaria Cell Biology Section,0.2978723404255319
Molecular and Cellular Immunology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.2978723404255319
Neuroimmunology Unit,Molecular Parasitology Section,0.2978723404255319
Nonhuman Primate Virology Section,Coxiella Pathogenesis Section,0.2978723404255319
Retroviral Immunology Section,B-Cell Molecular Immunology Section,0.2978723404255319
Genetic Engineering Section,Coxiella Pathogenesis Section,0.2976190476190476
Malaria Immunology Section,HIV Immunovirology Section,0.2972972972972973
Signaling Systems Section,Molecular and Cellular Immunoregulation Section,0.2972972972972973
T-Lymphocyte Biology Section,Intracellular Parasite Biology Section,0.2972972972972973
Viral Pathogenesis and Vaccine Section,Viral Pathogenesis Section (Laboratory of Immunoregulation),0.2972972972972973
Immunity to Pulmonary Pathogens Section,Cellular Biology Section,0.297029702970297
Clinical Pathophysiology Section,Cellular Immunology Section,0.296875
HIV-Specific Immunity Section,Genetic Engineering Section,0.2962962962962963
Inflammation Biology Section,Host-Parasite Interactions Section,0.2962962962962963
Integrative Immunobiology Section,Human Eosinophil Section,0.2962962962962963
Molecular Biology Section,Malaria Immunology Section,0.2962962962962963
Molecular and Cellular Immunology Section,Clinical Pathophysiology Section,0.2962962962962963
Immunopathogenesis Section (Laboratory of Immunoregulation),Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.296
Molecular Pathogenesis and Biomarkers Section,Lymphocyte Activation Section,0.296
Pathogen-Host Cell Biology Section,Immunobiology Section,0.29577464788732394
Immunopathogenesis Section (Laboratory of Immunoregulation),Chlamydial Diseases Section,0.29545454545454547
Intracellular Parasite Biology Section,Epidemiology and Population Studies Unit,0.29545454545454547
T-Lymphocyte Biology Section,Retroviral Immunology Section,0.29545454545454547
Virus Ecology Section,Immunity to Pulmonary Pathogens Section,0.29545454545454547
Malaria Genetics Section,Immunobiology Section,0.29523809523809524
Pathogen-Host Cell Biology Section,Neuroimmunology Unit,0.29508196721311475
Vector Molecular Biology Section,Lung and Vascular Inflammation Section,0.29508196721311475
Chemotaxis Signal Section,B-Cell Immunology Section,0.29411764705882354
Genetic Engineering Section,Cellular Immunology Section,0.29411764705882354
HIV Immunovirology Section,Fungal Pathogenesis Section,0.29411764705882354
Inflammation & Innate Immunity Unit,Host-Parasite Interactions Section,0.29411764705882354
Malaria Functional Genomics Section,Infectious Disease Fellowship Training Program,0.29411764705882354
Malaria Functional Genomics Section,Intracellular Parasite Biology Section,0.29411764705882354
Malaria Genetics Section,Clinical Research Section,0.29411764705882354
Retroviral Immunology Section,Molecular Parasitology Section,0.29411764705882354
Salmonella-Host Cell Interactions Section,Molecular Defenses Section,0.29411764705882354
Structural Biology Section,Epithelial Therapeutics Unit,0.29411764705882354
Structural Biology Section,LID Clinical Studies Unit,0.29411764705882354
Structural Informatics Unit,Structural Biology Section,0.29411764705882354
Vector Biology Section,Nonhuman Primate Virology Section,0.29411764705882354
Viral Pathogenesis Section (Laboratory of Immunoregulation),Viral Biochemistry Section,0.29411764705882354
Viral Pathogenesis Section (Laboratory of Viral Diseases),Host-Pathogen Interactions and Structural Vaccinology Section,0.29411764705882354
Immunobiology Section,HIV-Specific Immunity Section,0.29347826086956524
Lung and Vascular Inflammation Section,Cellular Immunology Section,0.29333333333333333
Plague Section,Metaorganism Immunity Section,0.29333333333333333
Tuberculosis Research Section,Lymphocyte Biology Section,0.2931937172774869
Vector Molecular Biology Section,Immunity to Pulmonary Pathogens Section,0.29310344827586204
Malaria Immunology Section,Biology of Vector-Borne Viruses Section,0.2926829268292683
Pathogen-Host Cell Biology Section,Antibacterial Host Defense Unit,0.2926829268292683
Scientist Emerita,Retroviral Immunology Section,0.2926829268292683
T-Lymphocyte Biology Section,Pathogen Molecular Genetics Section,0.2926829268292683
Vector Molecular Biology Section,Biology of Vector-Borne Viruses Section,0.2926829268292683
Viral Pathogenesis and Vaccine Section,Molecular Genetics Section (Laboratory of Bacteriology),0.2926829268292683
Innate Immunity and Pathogenesis Section,Autoimmunity and Functional Genomics Section,0.2916666666666667
LID Clinical Studies Unit,Biology of Vector-Borne Viruses Section,0.2916666666666667
Metaorganism Immunity Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.2916666666666667
Molecular Genetics Section (Laboratory of Bacteriology),Innate Immunity and Pathogenesis Section,0.2916666666666667
Molecular Parasitology Section,Lymphocyte Activation Section,0.2916666666666667
Molecular Pathology Section,Infectious Disease Fellowship Training Program,0.2916666666666667
Multiscale Systems Biology Section,Chlamydial Diseases Section,0.2916666666666667
Multiscale Systems Biology Section,Epithelial Therapeutics Unit,0.2916666666666667
Pathogen Molecular Genetics Section,Epidemiology and Population Studies Unit,0.2916666666666667
Structural Informatics Unit,Biology of Vector-Borne Viruses Section,0.2916666666666667
T-Cell Tolerance and Memory Section,Multiscale Systems Biology Section,0.2916666666666667
Vector Biology Section,Molecular and Cellular Immunology Section,0.2916666666666667
Viral Biology Section,Translational Mycology Section,0.2916666666666667
Immunobiology Section,Chlamydial Diseases Section,0.2911392405063291
TSE/Prion Molecular Biology Section,Clinical Pathophysiology Section,0.2911392405063291
TSE/Prion and Retroviral Pathogenesis Section,Immunity to Pulmonary Pathogens Section,0.2911392405063291
Viral Pathogenesis and Evolution Section,Metaorganism Immunity Section,0.291044776119403
Molecular and Cellular Immunology Section,Gene Regulation Section,0.2909090909090909
Salmonella-Host Cell Interactions Section,Immunity to Pulmonary Pathogens Section,0.2909090909090909
T-Cell Tolerance and Memory Section,Salmonella-Host Cell Interactions Section,0.2909090909090909
TSE/Prion and Retroviral Pathogenesis Section,Cellular Immunology Section,0.29069767441860467
Molecular and Cellular Immunology Section,Lyme Disease Studies Unit,0.2903225806451613
Neuroimmunology Unit,Gene Regulation Section,0.2903225806451613
Primary Immune Deficiency Clinic,Food Allergy Research Section,0.2903225806451613
Salmonella-Host Cell Interactions Section,Cellular Immunology Section,0.2903225806451613
Structural Immunology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.2903225806451613
Viral Immunology Section,B-Cell Immunology Section,0.2903225806451613
Viral Pathogenesis and Vaccine Section,Microbial Pathogenesis Section,0.29
Malaria Immunology Section,Clinical and Molecular Retrovirology Section,0.2898550724637681
Molecular Microbiology Section,Molecular Biology Section,0.2898550724637681
Salmonella-Host Cell Interactions Section,Immunobiology Section,0.2898550724637681
Molecular Parasitology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.2894736842105263
Viral Pathogenesis Section (Laboratory of Immunoregulation),Vector Molecular Biology Section,0.2894736842105263
Viral Pathogenesis Section (Laboratory of Viral Diseases),Vector Molecular Biology Section,0.2894736842105263
Lymphocyte Activation Section,Emerging Respiratory Viruses Section,0.2892857142857143
Medical Virology Section,Lymphocyte Activation Section,0.2892857142857143
Molecular Parasitology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.2890625
Clinical Pathophysiology Section,B-Cell Molecular Immunology Section,0.28888888888888886
Translational Mycology Section,Molecular Biology Section,0.28888888888888886
Vector Molecular Biology Section,Helminth Immunology Section,0.28888888888888886
Lymphocyte Activation Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.28846153846153844
Mucosal Immunobiology Section,Clinical Pathophysiology Section,0.28846153846153844
Neuroimmunology Unit,Biology of Vector-Borne Viruses Section,0.28846153846153844
Translational Mycology Section,Lung and Vascular Inflammation Section,0.28846153846153844
HIV-Specific Immunity Section,B-Cell Immunology Section,0.2878787878787879
TSE/Prion Biochemistry Section,Salmonella-Host Cell Interactions Section,0.2878787878787879
Salmonella-Host Cell Interactions Section,Metaorganism Immunity Section,0.2876712328767123
Neuroimmunology Unit,Metaorganism Immunity Section,0.28735632183908044
TSE/Prion and Retroviral Pathogenesis Section,Molecular Microbiology Section,0.28735632183908044
Viral Pathogenesis Section (Laboratory of Viral Diseases),Neuroimmunology Unit,0.28735632183908044
Viral Pathogenesis and Vaccine Section,Cellular Biology Section,0.2872340425531915
Malaria Cell Biology Section,Helminth Immunology Section,0.28717948717948716
LID Clinical Studies Unit,Fungal Pathogenesis Section,0.2857142857142857
Lung and Vascular Inflammation Section,Infectious Disease Fellowship Training Program,0.2857142857142857
Lymphocyte Activation Section,Immunobiology Section,0.2857142857142857
Lymphocyte Biology Section,Cellular Immunology Section,0.2857142857142857
Lymphocyte Biology Section,Immunity to Pulmonary Pathogens Section,0.2857142857142857
Malaria Genetics Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.2857142857142857
Malaria Infection Biology and Immunity Unit,Intracellular Parasite Biology Section,0.2857142857142857
Microbial Pathogenesis Section,Metaorganism Immunity Section,0.2857142857142857
Molecular Biology Section,Caliciviruses Section,0.2857142857142857
Molecular and Cellular Immunology Section,Microbial Pathogenesis Section,0.2857142857142857
Molecular and Cellular Immunoregulation Section,Chemotaxis Signal Section,0.2857142857142857
Molecular and Cellular Immunoregulation Section,Malaria Functional Genomics Section,0.2857142857142857
Molecular and Cellular Immunoregulation Section,Molecular Pathology Section,0.2857142857142857
Mosquito Immunity and Vector Competence Section,Fungal Pathogenesis Section,0.2857142857142857
Mucosal Immunobiology Section,Molecular Defenses Section,0.2857142857142857
Multiscale Systems Biology Section,Fungal Pathogenesis Section,0.2857142857142857
Nonhuman Primate Virology Section,Molecular Genetics Section (Laboratory of Bacteriology),0.2857142857142857
Pathogen-Host Cell Biology Section,Epidemiology and Population Studies Unit,0.2857142857142857
Physiology Unit,Mosquito Immunity and Vector Competence Section,0.2857142857142857
Retroviral Immunology Section,Coxiella Pathogenesis Section,0.2857142857142857
Signaling Systems Section,Cellular Immunology Section,0.2857142857142857
Signaling Systems Section,Gene Regulation Section,0.2857142857142857
Signaling Systems Section,Immunity to Pulmonary Pathogens Section,0.2857142857142857
Signaling Systems Section,Immunobiology Section,0.2857142857142857
Systems Genomics Section,Immune Activation Section,0.2857142857142857
Systems Genomics Section,Molecular Signaling Section,0.2857142857142857
T-Cell Tolerance and Memory Section,Molecular Genetics Section (Laboratory of Bacteriology),0.2857142857142857
T-Lymphocyte Biology Section,Computational Biology Unit,0.2857142857142857
TSE/Prion Molecular Biology Section,Neuroimmunology Unit,0.2857142857142857
Translational Mycology Section,Cellular Immunology Section,0.2857142857142857
Translational Mycology Section,Nonhuman Primate Virology Section,0.2857142857142857
Type 2 Immunity Section,Molecular Genetics Section (Laboratory of Bacteriology),0.2857142857142857
Vector Molecular Biology Section,Molecular Parasitology Section,0.2857142857142857
Vector Molecular Biology Section,Translational Autoinflammatory Disease Studies Unit,0.2857142857142857
Viral Biology Section,Barrier Immunity Section,0.2857142857142857
Viral Immunology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.2857142857142857
Viral Pathogenesis Section (Laboratory of Immunoregulation),Epithelial Therapeutics Unit,0.2857142857142857
Viral Pathogenesis Section (Laboratory of Immunoregulation),LID Clinical Studies Unit,0.2857142857142857
Viral Pathogenesis Section (Laboratory of Immunoregulation),Multiscale Systems Biology Section,0.2857142857142857
Virus Ecology Section,Antibacterial Host Defense Unit,0.2857142857142857
Lymphocyte Biology Section,Helminth Immunology Section,0.2847222222222222
Mucosal Immunity Section,Molecular Development of the Immune System Section,0.2847222222222222
Metaorganism Immunity Section,Lymphocyte Activation Section,0.2846715328467153
Cellular Immunology Section,Cellular Biology Section,0.28440366972477066
T-Cell Tolerance and Memory Section,Cellular Biology Section,0.28431372549019607
Viral Immunology Section,HIV-Specific Immunity Section,0.2840909090909091
Viral Pathogenesis Section (Laboratory of Viral Diseases),Cell Signaling and Immunity Section,0.2840909090909091
Immunobiology Section,B-Cell Molecular Immunology Section,0.2835820895522388
Mucosal Immunobiology Section,Chlamydial Diseases Section,0.2833333333333333
Chlamydial Diseases Section,B-Cell Molecular Immunology Section,0.2830188679245283
Chlamydial Diseases Section,Caliciviruses Section,0.2830188679245283
Molecular Biology Section,Epidemiology and Population Studies Unit,0.2830188679245283
T-Cell Tolerance and Memory Section,B-Cell Immunology Section,0.2830188679245283
Intracellular Parasite Biology Section,Gene Regulation Section,0.2826086956521739
Malaria Immunology Section,B-Cell Immunology Section,0.2826086956521739
Nonhuman Primate Virology Section,B-Cell Immunology Section,0.2826086956521739
Nonhuman Primate Virology Section,B-Cell Molecular Immunology Section,0.2826086956521739
T-Cell Tolerance and Memory Section,Structural Immunology Section,0.2826086956521739
Vector Molecular Biology Section,B-Cell Immunology Section,0.2826086956521739
Viral Immunology Section,Vector Biology Section,0.2823529411764706
Lymphocyte Activation Section,Cell Signaling and Immunity Section,0.28225806451612906
Hepatic Pathogenesis Section,Functional Cellular Networks Section,0.28205128205128205
Lymphocyte Activation Section,Cellular Biology Section,0.28205128205128205
Molecular and Cellular Immunoregulation Section,Hepatic Pathogenesis Section,0.28205128205128205
T-Lymphocyte Biology Section,Coxiella Pathogenesis Section,0.28205128205128205
Type 2 Immunity Section,Systems Genomics Section,0.28205128205128205
Viral Pathogenesis Section (Laboratory of Viral Diseases),Retroviral Immunology Section,0.28205128205128205
Structural Virology Section,Lung and Vascular Inflammation Section,0.2818181818181818
Immunopathogenesis Section (Laboratory of Immunoregulation),Genetic Immunotherapy Section,0.28169014084507044
Host-Pathogen Interactions and Structural Vaccinology Section,Functional Cellular Networks Section,0.28125
Host-Pathogen Interactions and Structural Vaccinology Section,HIV-Specific Immunity Section,0.28125
Inflammation & Innate Immunity Unit,Epidemiology and Population Studies Unit,0.28125
Mosquito Immunity and Vector Competence Section,Autoimmunity and Functional Genomics Section,0.28125
Neuroimmunology Unit,Mucosal Immunobiology Section,0.28125
Retroviral Immunology Section,Neuroimmunology Unit,0.28125
Tuberculosis Research Section,Immunobiology Section,0.28125
Virus Ecology Section,Intracellular Parasite Biology Section,0.28125
Viral Immunology Section,TSE/Prion and Retroviral Pathogenesis Section,0.2808988764044944
Malaria Genetics Section,Lymphocyte Activation Section,0.2808219178082192
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Clinical and Molecular Retrovirology Section,0.2807017543859649
Pathogen Molecular Genetics Section,Chlamydial Diseases Section,0.2807017543859649
Structural Virology Section,Cellular Immunology Section,0.2807017543859649
T-Cell Tolerance and Memory Section,Epidemiology and Population Studies Unit,0.2807017543859649
Lung and Vascular Inflammation Section,HIV-Specific Immunity Section,0.2804878048780488
Nonhuman Primate Virology Section,Immunopathogenesis Section (Laboratory of Immunoregulation),0.2804878048780488
Viral Pathogenesis Section (Laboratory of Viral Diseases),Immunopathogenesis Section (Laboratory of Immunoregulation),0.2803738317757009
Molecular Development of the Immune System Section,Mast Cell Biology Section,0.2802197802197802
Epithelial Therapeutics Unit,Antibacterial Host Defense Unit,0.28
Lymphocyte Activation Section,Genetic Engineering Section,0.28
Lymphocyte Biology Section,Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),0.28
Molecular and Cellular Immunoregulation Section,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.28
Molecular and Cellular Immunoregulation Section,Lung and Vascular Inflammation Section,0.28
Scientist Emerita,Bacterial Pathogenesis and Antimicrobial Resistance Unit,0.28
Structural Biology Section,Molecular Genetics Section (Laboratory of Bacteriology),0.28
T-Lymphocyte Biology Section,T-Cell Tolerance and Memory Section,0.28
Viral Immunology Section,Chlamydial Diseases Section,0.28
Pathogen Molecular Genetics Section,Clinical and Molecular Retrovirology Section,0.27941176470588236
Retroviral Immunology Section,Molecular Microbiology Section,0.27941176470588236
Viral Immunology Section,Nonhuman Primate Virology Section,0.27941176470588236
Malaria Functional Genomics Section,Immune Activation Section,0.27906976744186046
Molecular Signaling Section,Malaria Functional Genomics Section,0.27906976744186046
Molecular and Cellular Immunoregulation Section,Immune Activation Section,0.27906976744186046
Molecular and Cellular Immunoregulation Section,Molecular Signaling Section,0.27906976744186046
Mucosal Immunobiology Section,Biology of Vector-Borne Viruses Section,0.27906976744186046
Retroviral Immunology Section,Biology of Vector-Borne Viruses Section,0.27906976744186046
T-Lymphocyte Biology Section,Malaria Immunology Section,0.27906976744186046
Viral Pathogenesis and Vaccine Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.27906976744186046
Microbial Pathogenesis Section,HIV-Specific Immunity Section,0.2786885245901639
T-Lymphocyte Biology Section,Clinical and Molecular Retrovirology Section,0.2786885245901639
Viral Pathogenesis and Vaccine Section,Lung and Vascular Inflammation Section,0.2786885245901639
Molecular Parasitology Section,Caliciviruses Section,0.27848101265822783
Vector Biology Section,Lung and Vascular Inflammation Section,0.27848101265822783
Metaorganism Immunity Section,HIV-Specific Immunity Section,0.27835051546391754
Malaria Cell Biology Section,Emerging Respiratory Viruses Section,0.2782874617737003
Medical Virology Section,Malaria Cell Biology Section,0.2782874617737003
Coxiella Pathogenesis Section,Chemotaxis Signal Section,0.2777777777777778
Immune Activation Section,Clinical Pathophysiology Section,0.2777777777777778
LID Clinical Studies Unit,Host-Parasite Interactions Section,0.2777777777777778
Molecular Pathology Section,Malaria Immunology Section,0.2777777777777778
Molecular Signaling Section,Clinical Pathophysiology Section,0.2777777777777778
Multiscale Systems Biology Section,Intracellular Parasite Biology Section,0.2777777777777778
Structural Informatics Unit,Host-Parasite Interactions Section,0.2777777777777778
Systems Genomics Section,Mosquito Immunity and Vector Competence Section,0.2777777777777778
TSE/Prion and Retroviral Pathogenesis Section,Pathogen-Host Cell Biology Section,0.2777777777777778
Viral Pathogenesis Section (Laboratory of Immunoregulation),Fungal Pathogenesis Section,0.2777777777777778
Pathogen Molecular Genetics Section,Molecular Parasitology Section,0.27710843373493976
Genetic Immunotherapy Section,Clinical and Molecular Retrovirology Section,0.27692307692307694
Immunobiology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.27692307692307694
Pathogen-Host Cell Biology Section,Cellular Immunology Section,0.27692307692307694
Viral Immunology Section,Salmonella-Host Cell Interactions Section,0.27692307692307694
Viral Pathogenesis and Vaccine Section,Cellular Immunology Section,0.27692307692307694
Immunity to Pulmonary Pathogens Section,Clinical Research Section,0.2765957446808511
Scientist Emerita,Chlamydial Diseases Section,0.2765957446808511
T-Cell Tolerance and Memory Section,Chemotaxis Signal Section,0.2765957446808511
TSE/Prion and Retroviral Pathogenesis Section,Microbial Pathogenesis Section,0.2764227642276423
Cell Signaling and Immunity Section,B-Cell Immunology Section,0.27586206896551724
Cell Signaling and Immunity Section,B-Cell Molecular Immunology Section,0.27586206896551724
Integrative Immunobiology Section,Functional Cellular Networks Section,0.27586206896551724
LID Clinical Studies Unit,Caliciviruses Section,0.27586206896551724
Lyme Disease Studies Unit,Clinical Pathophysiology Section,0.27586206896551724
Molecular Biology Section,Lymphocyte Activation Section,0.27586206896551724
Molecular Defenses Section,Immune Activation Section,0.27586206896551724
Molecular Microbiology Section,HIV-Specific Immunity Section,0.27586206896551724
Molecular Signaling Section,Molecular Defenses Section,0.27586206896551724
Scientist Emerita,Integrative Immunobiology Section,0.27586206896551724
Structural Biology Section,B-Cell Immunology Section,0.27586206896551724
Structural Biology Section,Caliciviruses Section,0.27586206896551724
Structural Biology Section,Intracellular Parasite Biology Section,0.27586206896551724
Structural Immunology Section,Biology of Vector-Borne Viruses Section,0.27586206896551724
Systems Genomics Section,Cell Signaling and Immunity Section,0.27586206896551724
Systems Genomics Section,LID Clinical Studies Unit,0.27586206896551724
Systems Genomics Section,Structural Informatics Unit,0.27586206896551724
Viral Pathogenesis Section (Laboratory of Immunoregulation),Molecular Genetics Section (Laboratory of Bacteriology),0.27586206896551724
Immune Activation Section,Cellular Immunology Section,0.2753623188405797
Molecular Signaling Section,Cellular Immunology Section,0.2753623188405797
Microbial Pathogenesis Section,Chlamydial Diseases Section,0.27522935779816515
Immunopathogenesis Section (Laboratory of Immunoregulation),Genetic Engineering Section,0.275
Malaria Genetics Section,Intracellular Parasite Biology Section,0.275
Molecular Biology Section,Computational Biology Unit,0.275
Molecular Pathology Section,HIV Immunovirology Section,0.275
Vector Biology Section,Neuroimmunology Unit,0.275
Vector Molecular Biology Section,Malaria Functional Genomics Section,0.275
Signaling Systems Section,Mucosal Immunobiology Section,0.27450980392156865
Immune Activation Section,Chlamydial Diseases Section,0.27419354838709675
Molecular Parasitology Section,Helminth Immunology Section,0.27419354838709675
Molecular Signaling Section,Chlamydial Diseases Section,0.27419354838709675
Nonhuman Primate Virology Section,Lung and Vascular Inflammation Section,0.27419354838709675
Immunity to Pulmonary Pathogens Section,Cellular Immunology Section,0.273972602739726
Immunobiology Section,Gene Regulation Section,0.273972602739726
Malaria Immunology Section,Immunobiology Section,0.273972602739726
Metaorganism Immunity Section,Coxiella Pathogenesis Section,0.273972602739726
Viral Pathogenesis Section (Laboratory of Viral Diseases),Lyme Disease Studies Unit,0.27380952380952384
Malaria Genetics Section,HIV-Specific Immunity Section,0.27358490566037735
Viral Pathogenesis and Evolution Section,Vector Biology Section,0.2734375
Clinical and Molecular Retrovirology Section,Chlamydial Diseases Section,0.2727272727272727
Fungal Pathogenesis Section,Autoimmunity and Functional Genomics Section,0.2727272727272727
HIV Pathogenesis Section,Barrier Immunity Section,0.2727272727272727
Human Eosinophil Section,Host-Parasite Interactions Section,0.2727272727272727
Immunopathogenesis Section (Laboratory of Clinical Immunology and Microbiology),Clinical Research Section,0.2727272727272727
Integrative Immunobiology Section,Immune Activation Section,0.2727272727272727
Lyme Disease Studies Unit,Clinical and Molecular Retrovirology Section,0.2727272727272727
Malaria Infection Biology and Immunity Unit,Malaria Functional Genomics Section,0.2727272727272727
Molecular Genetics Section (Laboratory of Bacteriology),Autoimmunity and Functional Genomics Section,0.2727272727272727
Molecular Microbiology Section,Clinical Pathophysiology Section,0.2727272727272727
Molecular Microbiology Section,Lung and Vascular Inflammation Section,0.2727272727272727
Molecular Signaling Section,Integrative Immunobiology Section,0.2727272727272727
Molecular and Cellular Immunoregulation Section,Innate Immunity and Pathogenesis Section,0.2727272727272727
Multiscale Systems Biology Section,Molecular Pathology Section,0.2727272727272727
Neuroimmunology Unit,Molecular Defenses Section,0.2727272727272727
Nonhuman Primate Virology Section,Host-Pathogen Interactions and Structural Vaccinology Section,0.2727272727272727
Primary Immune Deficiency Clinic,Immune Deficiency Genetics Section,0.2727272727272727
Structural Virology Section,HIV-Specific Immunity Section,0.2727272727272727
T-Cell Tolerance and Memory Section,Clinical and Molecular Retrovirology Section,0.2727272727272727
T-Lymphocyte Biology Section,Multiscale Systems Biology Section,0.2727272727272727
